recall_number,product_description,reason_for_recall,recalling_firm,classification,status,voluntary_mandated,distribution_pattern,code_info,city,state,country,recall_initiation_date,report_date
F-0243-2017,"OSSIE'S PICKLED LOX & CREAM, NET WT. 8 OZ., UPC 739885104113; -- Far Rockaway, NY 11691 --- The product is packed in a plastic deli tub.",The products have the potential to be contaminated with Listeria monocytogenes based on the findings of the bacteria in the plant via FDA environmental sampling plus the district's inspectional findings,SM Fish Corp.,Class I,Terminated,Voluntary: Firm initiated,New York and New Jersey via retail stores,Best By date codes of 08/21/16 through 10/18/16,Far Rockaway,NY,United States,20160915,20161102
F-1308-2017,"Gourmet Cocoa Supreme, CP302141-12, NET WT. 12 LBS",Dutch-American foods is recalling various seasoning products and baking bases due to potential contamination of product with Salmonella.,Dutch-American Foods Inc,Class II,Terminated,Voluntary: Firm initiated,"MD, MI, IL, FL","Batch # 191951, 191952",Beecher,IL,United States,20161207,20170201
F-0428-2017,"White Cheddar Cheese, 40 lb. blocks",Farm Country Cheese House is conducting a voluntary recall of multiple vats of cheese due to potential contamination with Listeria monocytogenes.,"Farm Country Cheese House, Inc.",Class I,Terminated,Voluntary: Firm initiated,Domestic: MI,"Made on 09/23/2016, Vat A",Lakeview,MI,United States,20161010,20161123
F-0259-2013,#234 Bulk Watermelon	234	2.5 pounds  and #050 Watermelon Tray	16 ounces,"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.). The firm is voluntarily recalling all products manufactured from August 20th to September 10th 2012 due to the possible contamination. All lots with sell by dates on or before",Spartan Central Kitchen,Class II,Terminated,Voluntary: Firm initiated,MI and OH only.,All with sell by dates on or before 15-Sep  with UPC 234 and 0-11213-90395,Grand Rapids,MI,United States,20120910,20121024
F-0543-2025,1. Chocolate Drizzled Birthday Cake Granola Bars 	25.5oz (30 bars) 2. Chocolate Drizzled Birthday Cake Granola Bars	4.2oz (5 bars) 3. Chocolate Drizzled Birthday Cake Granola Bars	17oz (20 bars) 4. Chocolate Drizzled Birthday Cake Granola Bars 	8.5oz (10 bars) 5. Chocolate Drizzled Birthday Cake Granola Bars 	4.2oz (5 bars)  6. Chocolate Drizzled Birthday Cake Granola Bars 0.85oz,may contain metal pieces,"Riverside Natural Foods, Ltd.",Class II,Completed,Voluntary: Firm initiated,nationwide,1. best by:01/09/2025 up to and including 06/16/2025 UPC: X002SSIRIF 2. best by: 01/09/2025 up to and including 09/21/2025 UPC: 687456214160 3. best by: 03/05/2025 up to and including 07/25/2025 UPC: 687456215594 4. best by: 01/09/2025 up to and including 09/04/2025 UPC: 687456215709 5. best by: 04/25/2025; 08/29/2025; 05/17/2025 UPC: 687456215815 6. best by: 12/12/2024 up to and including 09/21/2025 UPC: 687456914169,North York,,Canada,20241209,20250219
F-2992-2017,"B4016W, 910277 Breader, NET WT 40 LBS, Manufactured By:  Newly Weds Foods, Inc., Chicago, IL 60639",Product may contain undeclared milk.,Newly Weds Foods Inc,Class II,Terminated,Voluntary: Firm initiated,"Nationwide, Mexico, Canada",Product #B4016W; Lot #WN011817A;  WN022217A;  WN032917A;  WN041917A;  WN122116A,Chicago,IL,United States,20170503,20170726
F-1727-2019,"DANNON OIKOS TRIPLE ZERO GREEK VANILLA - 5.3OZ/4PK, UPC: 3663201953",Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,"C & S Wholesale Grocers, Inc.",Class II,Terminated,Voluntary: Firm initiated,"Two Target Stores 1. 98 Veterans Memorial Highway in Commack, New York 2. 160 North Research Place in Central Islip, New York","Exact codes are unknown. The product being recalled was sold on June 17, 2019 at Target Stores in Commack, NY and Central Islip, NY.",Westfield,MA,United States,20190617,20190731
F-1757-2012,"Kit item #30699-76, includes Mozzarella Sticks, 2.25 oz, 12bags/kit; Cheddar Bacon Skins, 3oz, 24 bags/kit; and Sour Cream & Onion Skins 3oz, 12bags/kit.    kit item#30679-11, 30679-12, and 30679-13, includes Mozzarella Sticks 2.25oz, 12bags/kit, Cheddar bacon skins 3oz, 24 bags/kit, and Sour Cream & Onion skins 3oz, 12bags/kit.    Kit Item#30845-A- Onion Ring Clip Strip, 2oz, 24 bag/clip strip.",Inventure Foods Inc. is recalling mozzarella sticks and onion rings because there may be a chance that there are tiny metal particles in their seasoning.,Inventure Foods,Class II,Terminated,Voluntary: Firm initiated,Nationwide in the US and in Canada,"Lot # FEB242013, FEB232014, FEB1713",Phoenix,AZ,United States,20120608,20120718
F-1994-2017,"French's Crispy Jalapenos Net Wt. 5 oz. (141.7g), UPC 0 41500 95309 0, French's Food Company.",Product may contain foreign objects: rocks and metal fragments.,"The French's Food Company, LLC SUBS Reckitt Benckiser",Class II,Terminated,Voluntary: Firm initiated,"Product was distributed to CA, KS, MN, MS, MT, OK, OR, TX, and WA.  Product was shipped to a military distributor on the west coast.","Best by May 25, 2018",Springfield,MO,United States,20170327,20170426
F-2232-2016,"Pictsweet(R) Seasoned Summer Vegetables, NET WT 12 OZ. (340g), DISTRIBUTED BY THE PICTSWEET COMPANY, BELLS, TN 38305, UPC 7056097622","Possible Listeria Monocytogenes contamination in bulk vegetables supplied by CRF Frozen Foods, LLC used in manufacturing several Pictsweet products.",The Pictsweet Company,Class I,Terminated,Voluntary: Firm initiated,Nationwide,"BEST IF USED BY: Aug 3 2016, Aug 5 2016, Nov 9 2016, Nov 10 2016; with Mfg Code ### # K # #",Bells,TN,United States,20160506,20160921
F-0202-2022,EveryPlate Meal Kit Product Codes 81-82-84-90-92-95-98-99 from Production Week 32 (production week start date: 08/04/2021),Products contain onions purchased from ProSource and associated with a Salmonella Oranienburg outbreak.,HELLOFRESH US,Class I,Terminated,Voluntary: Firm initiated,Nationwide.,Production Week: 08/04/2021 EveryPlate Product Code: 81-82-84-90-92-95-98-99 (Number sequence may vary),New York,NY,United States,20211022,20211124
F-1745-2017,"Luqman Cheese, White Cheddar, Net Wt. 8 oz.., Distributed by: Cumberland Valley Creamery, Mechanicsburg, PA",Multiple laboratory analysis found multiple instances where various cheeses exceed allowed limits of generic E. coli.,"Cumberland Valley Creamery, LLC",Class II,Terminated,Voluntary: Firm initiated,"MD, PA","All lots, all codes.",Mechanicsburg,PA,United States,20160607,20170405
F-0242-2015,"Good Herbs, Inc., FLOWER ESSENCE WILD ROSE, 1 & 4 oz bottle, 550 Oliver Dr Troy, MI 48084 The Quality Herb That Works",Products not manufactured under GMP's,"Good Herbs, Inc.",Class II,Terminated,Voluntary: Firm initiated,"National: AZ, CA, CT, FL, IN, ME, MI, MO, MS, NC, NH, NY, OH, OR, RI, TX, VA & WY  International: None reported","All Lots distributed on or after October 17, 2013",Troy,MI,United States,20140505,20141105
F-0655-2014,"Grandpas Artichoke Spinach Dip, Product Code 0 11596 55902 5,	1/5 lb;    Archer Farms Artichoke Spinach Dip, Product Code  0 85239 99015 5,	6/11 oz;  Archer Farms Artichoke Spinach Dip, Product Code 0 85239 69053 6,	4/18 oz;    Roundy's Artichoke Spinach Dip, Product Code  0 11596 06170 2,	6/12 oz","Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.","Garden-Fresh Foods, Inc.",Class I,Terminated,Voluntary: Firm initiated,"CA, IL, IN, MA, MI,MN, MO, OH, PA, WI.",0 11596 55902 5 = 11/15/2013 - 12/13/2013;    0 85239 99015 5 = 11/1/2013;   0 85239 69053 6=11/1/2013;    0 11596 06170 2= 11/8/2013 - 12/15/2013,Milwaukee,WI,United States,20131030,20131211
F-0827-2013,Garden Fresh Gourmet Nacho Cheese Tortilla Chips  14oz bags,Beginning 11/01/2012 Garden Fresh Gourmet recalled Garden Fresh Nacho Cheese Tortilla chips (exp 11/26/2012) because quality standards of ingredients used in the products were not met.,"Garden Fresh Salsa, Inc.",Class III,Terminated,Voluntary: Firm initiated,"Michigan, Indiana, New Jersey,",14 oz bag UPC 4767131090 Lot 112612  Best By 11/26/12,Ferndale,MI,United States,20121101,20121226
F-0848-2024,GRANDE     1.5OZ FRESH BOCCONCINI MOZZ 1/3#         SUPC/ITEM # 19132P,The food was not held at an appropriate temperature.  The holding temperature could affect spoilage and potentially support pathogen growth.,Greco Sidari,Class II,Terminated,Voluntary: Firm initiated,"OH, NY & PA","All Lot Codes Distributed between November 26, 2023 and January 5, 2024",Cleveland,OH,United States,20240111,20240214
F-1204-2014,"Reser's Tuna Salad Supreme, Formula PT.137 packaged in 2/5-lb carton cases. Reser's Fine Foods, Inc., Beaverton, OR.  UPC 071117141382",The recalled products are potentially contaminated with Listeria monocytogenes.,"Reser's Fine Foods, Inc.",Class I,Terminated,Voluntary: Firm initiated,"Distribution was made to AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, VA, WI, WV AND WY.   Distribution was also made to Canada.",Use by dates 10/12/13 - 11/27/13.,Beaverton,OR,United States,20131022,20140101
F-1352-2014,"Phenol Assist, Kirkman brand, Item # 0835-090",Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,Kirkman Group Inc.,Class II,Terminated,Voluntary: Firm initiated,distributed worldwide,"LOT numbers:  52640015,  53855003,  53855004.",Lake Oswego,OR,United States,20131115,20140108
F-0136-2017,"MINI DEEP DISH MUSHROOM PIZZA, 200 CT, Prepared by: Kabobs, 54234 North Lake Dr. Lake City, GA 30260.",Product was manufactured with flour recalled due to E. coli O121 contamination.,Kabobs Inc,Class II,Terminated,Voluntary: Firm initiated,"AR, CA, CO, CT, FL, GA, IL,IN, IO, KY, LA, MA, MD, MI, MN, MO, NC, NJ, NY, NV, OK, OH, OR, PA, TN, TX WA, and WI.","Item number: K7954, Lot/Julian Code: PM15M18 / 15352 and PM15M17 / 15351.",Lake City,GA,United States,20160706,20161026
F-2329-2015,"Oregano, Mediterranean ground, stock code 03355, packaged in 0.2 lb., .75 lb., 0.8 lb., 1 lb., 4 lbs., 10 lbs., 15 lbs., 25 lbs., or 50 lbs. container.    The UPC for 50 lbs. container is 0 23605 03355 6.",Bulk ground oregano is recalled due to contamination with gluten (wheat allergen),"Regency Group, Inc., The",Class II,Terminated,Voluntary: Firm initiated,"distributed in AK, AZ, CA, ID, MT, OR, UT and WA.",Lot 03355-140121,Portland,OR,United States,20150430,20150603
F-1050-2016,"Blue Ridge Farms Macaroni Salad; 05021  Net Weight: 1 X 10 LB., Keep Refrigerated; Use by: 03/14/16; Lot # 430;   Packed by Winter Gardens Quality Foods, Inc, New Oxford, PA 17350",The supplier of the salad oil used in the above product(s) has voluntarily recalled this raw material due to the potential presence of foreign material.  Winter Gardens is continuing this voluntary recall through the supply chain.,"Winter Gardens Quality Foods, Inc.",Class II,Terminated,Voluntary: Firm initiated,MD  NC  NJ  NY  PA  VA,"Use By: 03/14/216, Lot # 430",New Oxford,PA,United States,20160215,20160420
F-0526-2018,"Dark Chocolate Pecans Net Wt. 7 oz, Farrell Farms, 200 Gin Road, Goldsboro, NC",Undeclared allergen: Milk,"Farrell Farms, Inc",Class I,Terminated,Voluntary: Firm initiated,NC,"Sold via website between October 16th, 2017 to November 17th, 2017",Goldsboro,NC,United States,20171119,20180103
F-0559-2014,"Finest Traditions Garden Vegetable Spaghetti, Product Code 10 733147 10196 1,	1/8 lb","Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.","Garden-Fresh Foods, Inc.",Class I,Terminated,Voluntary: Firm initiated,"CA, IL, IN, MA, MI,MN, MO, OH, PA, WI.",10 733147 10196 1=  11/4/2013 - 11/20/2013; ;,Milwaukee,WI,United States,20131030,20131211
F-1554-2017,Cashew Clusters 32 oz,Snak King is recalling cashew clusters because it may be contaminated with Salmonella.,Snak King Corporation,Class I,Terminated,Voluntary: Firm initiated,"US (Florida, Atlanta, CA)",Lot 5352533:  Date code on bag 8/30/17  Lot 5353827: Date code on bag 8/31/17  Lot 5354506: Date code on bag 8/31/17  Lot 5355694: Date code on bag 9/1/17  Lot 5355670: Date code on bag 9/1/17  Lot 5356902: Date code on bag 9/2/17,City Of Industry,CA,United States,20170215,20170308
F-2021-2016,"Devils Food Sheet Cake 8x12 Mega   28.125 lb case 20, 2  2.5oz cakes per case",Products may contain undeclared tree nuts (walnuts).  People who have an allergy or severe sensitivity to tree nuts run the risk of serious or life-threatening allergic reaction if they consume these products.,"Minnie Marie Bakers, Inc. dba Awrey's Bakery",Class I,Terminated,Voluntary: Firm initiated,Ohio,product 6585,Livonia,MI,United States,20160729,20160907
F-1334-2018,Eggo Homestyle Waffles 24ct 29.6oz    UPC: 38000402807    Target item number: 270-5-49,Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,Target Corporation,Class II,Terminated,Voluntary: Firm initiated,HI,"All product purchased at  Target store T2780, Honolulu, HI from March 23 through March 27, 2018.",Minneapolis,MN,United States,20180327,20180509
