code,original_name,original_brand,original_categories,original_ingredients,completeness,clean_name,clean_brand,primary_category,dietary_tags,allergens_extracted,is_organic,enrichment_status
10700021526,Milk Duds,Hershey,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies, Candies, en:chocolates","corn syrup, sugar, vegetable oil [palm oil, shea oil, sunflower oil, palm kernel oil, and/or safflower oil], dextrose, nonfat milk, reduced protein whey (milk), chocolate, contains 2% or less of: brown sugar, mono - and diglycerides, whey (milk), baking soda, confectioner's glaze, salt, tapioca dext",0.7875,Milk Duds,Hershey,Candy,,milk,false,success
34000944552,Plant based oat chocolate confection,Hershey,nan,"Sugar, Cocoa Butter, Chocolate, Almonds, Oat Flour, Rice Flour, Lecithin (Soy), Sunflower Oil, Sea Salt, Natural Flavor",0.475,Plant Based Oat Chocolate Confection,Hershey,Candy,vegetarian,"soy, tree nuts",false,success
810031480364,Hershey’s S’mores Popcorn,Hershey,nan,nan,0.375,Hershey's S'mores Popcorn,Hershey,Snack,,,False,success
3403109,Mounds Dark Chocolate,Hershey,"Snacks, Sweet snacks, Cocoa and its products, Confectioneries, Chocolate candies","Corn syrup; semi-sweet chocolate [chocolate; sugar; milk fat; lecithin (soy); pgpr; vanillin, artificial flavor; milk]; coconut; sugar; contains 2% or less of: salt; hydrolyzed milk protein; sodium metabisulfite, to maintain freshness.",0.6875,Mounds Dark Chocolate,Hershey,Candy,,"milk, soy, tree nuts",false,success
77567254238,Natural Vanilla Ice Cream,"Breyers,Unilever","Desserts,Frozen foods,Frozen desserts","milk, cream, sugar, vegetable gum (tara), natural flavor,",0.575,Natural Vanilla Ice Cream,Breyers,Frozen,,milk,false,success
186852000389,Gelato - Madagascan Vanilla Bean,"Talenti,Unilever","Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams","Milk, sugar , cream, dextrose , vanilla extract, sunflower lecithin, carob bean gum, guar gum, natural flavor, lemon peel.",0.8,Gelato Madagascan Vanilla Bean,Talenti,Frozen,,milk,false,success
12000012754,Green tea,"Lipton,Unilever",nan,"water,high fructose corn syrup,citric acid, natural flavor sooum hexametaphosphate (to protect flavor), pt) green tea, ascorbic acid (vitamin c), potassium sorbate (preserves freshness), phosphoric acid, sugar, acesulfame potassium, calcium disoium eota (to protect flavor), honey manufactured by ind",0.5875,Green Tea,Lipton,Beverage,,,false,success
186852000334,Caramel cookie crunch gelato,"Talenti,  Unilever","Desserts, Frozen foods, Frozen desserts","Milk, sugarâ€ , cream, skim milk, coconut, palm and soybeanâ€ oils, dextroseâ€ , cocoa (processed with alkali), enriched flour (wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), corn syrupâ€ , sunflower lecithin, carob bean gum, vanilla extract, guar gum, baking soda, ",0.6625,Caramel Cookie Crunch Gelato,Talenti,Frozen,,"milk, wheat, soy",false,success
77567226006,Breyers Homemade Vanilla Ice Cream,"Breyers,Unilever","Desserts, Frozen foods, Frozen desserts, Ice creams and sorbets, Ice creams","milk, cream, sugar, corn syrup, whey, egg yolks, carob bean gum, mono and diglycerides, salt, natural flavor, vanilla extract*, annatto (for color), guar gum, tara gum,",0.5625,Breyers Vanilla Ice Cream,Breyers,Frozen,,"milk, eggs",false,success
28400040037,Fritos,Lays,"Snacks,Salty snacks,Appetizers,Chips and fries,Crisps,Corn chips","Corn, Corn Oil, and Salt. FRITO-LAY, INC. PLANO, TX 75024-4099 ©2004 FRITO-LAY NORTH AMERICA, INC. GLUTEN FREE SnackPerks TM Get tips, recipes, and other perks from Frito Join SnackPerks at Frito LaySnackPerks.com",0.9,Fritos,Frito-Lay,Snack,gluten-free,,false,success
28400091565,Lays Classic,Lays,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Salty snacks, Appetizers, Chips and fries, Crisps, Potato crisps","POTATOES, VEGETABLE OIL (CANOLA, CORN, SOYBEAN, AND/OR SUNFLOWER OIL), AND SALT.",0.6875,Lays Classic,Lays,Snack,vegetarian,soy,false,success
28400761918,Sweet potato popables,Lays,"en:chips-and-fries,en:crisps,en:salty-snacks-made-from-potato","Potato starch, vegetable oil (corn, canola, and/or sunflower oil), dried sweet potatoes, brown rice flour, whole grain corn flour, cane sugar, sea salt, annatto extracts.",0.6875,Sweet Potato Popables,Lays,Snack,vegetarian,,false,success
28400679732,Baked Popped Mix,Lays,baked chips,"Popcorn, Vegetable Oil, Corn Oil, And/or Canola Oil, And/or Sunflower Oil, Natural Flavors, Whey, Maltodextrin Made From Corn, Buttermilk, Cheddar Cheese, Milk, Cheese Cultures, Salt, Enzymes, Salt",0.5625,Baked Popped Mix,Lays,Snack,,milk,false,success
28400770088,Classic,Lays,en:potato-crisps,"Potatoes, vegetable oil (canola, corn, soybean, and/or sunflower oil), salt.",0.6875,Classic,Lays,Snack,vegetarian,soy,false,success
9800895250,HAZELNUT SPREAD WITH COCOA,nutella,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Fats, Spreads, Sweet spreads, Vegetable fats, fr:Pâtes à tartiner, Hazelnut spreads, Chocolate spreads, Cocoa and hazelnuts spreads","sugar, palm oil, hazelnuts, cocoa, skim milk, whey (milk), lecithin as emulsifier (soy), vanillin: an artificial flavor,",0.7875,Hazelnut Spread with Cocoa,Nutella,Spreads,vegetarian,"milk, soy, tree nuts",false,success
9800892204,Hazelnut spread with cocoa,Nutella,"Null, en:cocoa-and-hazelnuts-spreads","SUGAR, PALM OIL, HAZELNUTS, SKIM MILK, COCOA, LECITHIN, VANILLIN.",0.8875,Hazelnut Spread with Cocoa,Nutella,Condiment,,"milk, tree nuts",false,success
9800830039,biscuits,nutella,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits","HAZELNUT SPREAD WITH COCOA (SUGAR, PALM OIL, HAZELNUTS, SKIM MILK, COCOA, LECITHIN (AS EMULSIFIER), VANILLIN (AN ARTIFICIAL FLAVOR)), WHEAT FLOUR, VEGETABLE FATS (PALM, PALM KERNEL), CANE SUGAR, LACTOSE, WHEAT BRAN, MILK POWDER, HONEY, DISODIUM DIPHOSPHATE, SODIUM BICARBONATE (LEAVENING AGENT), AMMO",0.6875,Nutella Biscuits,Nutella,Snack,,"milk, wheat, tree nuts",false,success
9800800056,Hazelnut Spread + Breadsticks,nutella,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Spreads,Nuts and their products,Plant-based spreads,Sweet spreads,Oilseed purees,fr:Pâtes à tartiner,Hazelnut spreads,Nut butters,Chocolate spreads,Cocoa and hazelnuts spreads,Hazelnut butters","NUTELLA: SUGAR, PALM OIL, HAZELNUTS, COCOA, SKIM MILK, WHEY (MILK), LECITHIN AS EMULSIFIER (SOY), VANILLIN: AN ARTIFICIAL FLAVOR. BREADSTICKS: WHEAT FLOUR, PALM OIL, SALT, BAKER'S YEAST, MALT EXTRACT.",0.7875,Hazelnut Spread with Breadsticks,Nutella,Condiment,,"milk, wheat, soy, tree nuts",false,success
3168930010265,cruesly mélange de noix,Quaker,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Mueslis,Cereals with nuts,Crunchy cereal clusters,Cereal clusters with nuts","_avoine_ complète (32%), _blé_ complet (18%), sirop de glucose, huile de tournesol, sucre, _amandes_ grillées (4,2%), _noisettes_ (4%), oligofructose, _noix de Pécan_ (1,5%), farine de _blé_, farine de riz, _noix du Brésil_ (1%), miel, arômes naturels, antioxydant (tocophérol).",0.9,Cruesly Mélange de Noix,Quaker,Breakfast Cereal,vegetarian,"wheat, tree nuts",false,success
3229820160672,Croustillant Chocolat,Bjorg,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales au chocolat,Céréales pour petit déjeuner riches en fibres,Pépites de céréales croustillantes,Pépites de céréales au chocolat","Flocons d'avoine complète, Flocons de blé complet, Riz extrudé (farine de riz), Sucre de canne non raffiné, Chocolat noir (pâte de cacao, sucre de canne non raffiné, inuline), Farine de blé, Huile de tournesol, Miel, Stabilisant: gomme d'acacia, Mélasses, Flocons de noix de coco, Sel marin, Cannelle",0.9,Croustillant Chocolat,Bjorg,Breakfast Cereal,vegetarian,"wheat, tree nuts",false,success
3229820019307,Flocons d'avoine,Bjorg,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes,Rolled flakes,Rolled oats",Flocons d'_avoine_ complète issue de l'agriculture biologique.,1.0,Oat Flakes,Bjorg,Breakfast Cereal,organic,wheat,True,success
3229820129488,"Muesli Raisin, Figue, Abricot",Bjorg,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales aux fruits,Mueslis,Mueslis aux fruits","Flocons d'avoine* complète, Flocons de blé* complet, Raisins 8% (raisins*, huile de tournesol*), Figues* séchées 8% (figues*, farine de riz*), Flocons d'épeautre* complet, Pétales de maïs*, Dattes* 4 % (dattes*, farine de riz*), Abricots* secs 3% (abricots*, farine de riz*), Graines de tournesol*, P",1.0,"Muesli Raisin, Fig, Apricot",Bjorg,Breakfast Cereal,vegetarian,wheat,false,success
3387390123210,NESTLE CHOCAPIC Céréales 375g,"Nestlé, Chocapic","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales au chocolat,Céréales pour petit déjeuner enrichies en vitamines et minéraux,Céréales extrudées,Pétales de blé chocolatés,Céréales chocolatées pour petit déjeuner non fourrées mais enrichies en vitamines et minéraux,Céréales pour petit déjeuner riches en fibres","Farine de BLÉ complet 29,9 %, sirop de glucose, sucre, LAIT écrémé en poudre, sirop de sucre inverti, humectant : glycérol ; chocolat au LAIT 5,2 % (sucre, LAIT écrémé en poudre, beurre de cacao*, pâte de cacao*, matière grasse de LAIT, émulsifiants : lécithine de SOJA, polyricinoléate de polyglycér",0.6875,Nestle Chocapic Cereal,Nestle,Breakfast Cereal,,"milk, wheat, soy",false,success
5053990161966,Pringles Texas BBQ,Pringles,"Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, Salty snacks made from potato, Aperitiefhapjes, Chips, Smaakvarianten chips, Stacked extruded potato crisps","Dehydrated potatoes, vegetable oils (sunflower, palm, corn) in varying proportions, wheat flour, corn flour, rice flour, barbecue seasoning (sugar, lactose {milk}, salt, onion powder, flavour enhancers {monosodium glutamate, disodium 5'-ribonucleotides}, tomato powder, paprika powder, yeast extract,",0.7,Pringles Texas BBQ,Pringles,Snack,,"milk, wheat",false,success
3497917000136,Chips Paysanne,Brets,"aliments-et-boissons-à-base-de-végétaux, aliments-d'origine-végétale, snacks, céréales-et-pommes-de-terre, snacks-salés, amuse-gueules, chips-et-frites, chips, chips-de-pommes-de-terre, chips-paysannes, chips-de-pommes-de-terre-à-l'huile-de-tournesol, nl:aardappelchips, nl:aardappelchips-gebakken-in-zonnebloemolie, nl:boerenchips, fr:chips, nl:chips-en-patat, nl:granen-en-aardappels, nl:plantaardige-levensmiddelen, nl:plantaardige-levensmiddelen-en-dranken, nl:voorgerechten, nl:zoute-snacks","potatoes (france) (64%), sunflower oil (35%), guérande salt (1,0%),",0.975,Chips Paysanne,Brets,Snack,vegetarian,,false,success
5053990161607,Pringles Paprika,Pringles,"Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, Salty snacks made from potato, Aperitiefhapjes, Chips, Paprika chips, Stacked extruded potato crisps","Cartofi deshidratați, uleiuri vegetale (floarea soarelui, palmier, porumb) în proporții variate, făină de grâu, făină de porumb, făină de orez, condiment cu aromă de paprika (zahăr, boia de ardei, potențiator de aromă {glutamat monosodic, guanilat disodic, inozinat disodic}, dextroză, drojdie uscată",0.7875,Pringles Paprika,Pringles,Snack,,wheat,false,success
5410041143508,Gout Bacon,Tuc,"Aperitiefhapjes, chips, snacks, Zoute snacks, Zoute sticks","Farine de blé, huile de tournesol 17 %, extrait de malt d'orge, sirop de glucose, poudre à lever (carbonates d'ammonium, carbonates de sodium), sel, oeufs, arômes (contient lait, arôme bacon, arôme de fumée), exhausteurs de goût (glutamate monosodique, guanylate disodique, inosinate disodique), agen",0.9,Gout Bacon,Tuc,Snack,,"milk, eggs, wheat",false,success
5053990127665,Pringles Hot & Spicy,Pringles,"Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, Salty snacks made from potato, Aperitiefhapjes, Chips, Smaakvarianten chips, Stacked extruded potato crisps","Pommes de terre déshydratées, huiles végétales (tournesol, maïs), farine de riz, amidon de BLÉ, farine de maïs, assaisonnement piment et épices (épices, sucre, exhausteurs de goût {glutamate monosodique, guanylate disodique, inosinate disodique}, bouillon en granulés (sel, protéine végétale hydrolys",0.8,Pringles Hot and Spicy,Pringles,Snack,,wheat,false,success
5449000054227,Cocacola original taste,Coca-Cola,"Beverages and beverages preparations,Beverages,Carbonated drinks,Sodas,Non-alcoholic beverages,Colas,Sweetened beverages","Water, fructose - glucose syrup, carbon dioxide, colorant: e150d, acid: phosphoric acid, natural flavorings (including caffeine).",0.875,Coca Cola Original,Coca-Cola,Beverage,,,false,success
5449000214799,Coke Zero,Coca-Cola,"Boissons et préparations de boissons,Boissons,Boissons gazeuses,Boissons édulcorées,Sodas,Boissons light,Boissons sans alcool,Sodas au cola,Sodas light,Sodas au cola light","carbonated water, colouring (e150d), acidifier (phosphoric acid), sweeteners (aspartame, acesulfame-k), natural flavors, caffeine aroma, acidity regulator (sodium citrates)",1.0,Coke Zero,Coca-Cola,Beverage,"sugar-free, low-sodium",,false,success
