recall_number,product_description,reason_for_recall,recalling_firm,classification,status,voluntary_mandated,distribution_pattern,code_info,product_type,city,state,country,recall_initiation_date,center_classification_date,report_date,event_id
F-0738-2020,"Deep-fried Donut (Banh Tieu) 3.2-ounce package in clear plastic bag, no UPC, no brand.    Product is labeled in part, ""BANH TIEU***Ingredients: bread flour, sugar, baking powder, salt, sesame seed, water, shortening oil.***Lanvin French Bakery***"".",Undeclared wheat and soybean oil.,"Lanvin French Bakery, LLC",Class II,Terminated,Voluntary: Firm initiated,Distributed to Oregon and Washington.,"02 15  02 15 means that the product is expired on February 15, 2020.",Food,Portland,OR,United States,20200212,20200221,20200304,84979
F-0369-2017,"Roland¿ Preserved Lemons, NET WT. 12.35 OZ., and Roland¿ PRESERVED LEMONS - BELDI, NET WT. 13 OZ., Item UPC 4122461002 and Case UPC 10041224610023 -- PACKED EXCLUSIVELY FOR ROLAND FOODS LLC, NEW YORK, NY 10010 --- The product is packed in a glass jar.",The product contains undeclared sulfites based on sampling and analysis by New York State Department of Agriculture and Markets and private laboratory testing.,"Roland Foods, LLC.",Class II,Terminated,Voluntary: Firm initiated,"Nationwide, Canada, and Nether Antilles","Lot # 20, Production Codes DA:169Z  P:0618 (ink jet printed on the jar lid); Lot # 21, Production Code P:Q0303 (ink jet printed on the jar lid);  Item # 61002 (on case label)",Food,New York,NY,United States,20161011,20161028,20161109,75407
F-1572-2016,"Whole wheels and cuts of Maytag blue cheese re-packaged in foil or clear plastic wrap with scale labels in various weights.  Product was labeled as Maytag Blue Raw Milk, Maytag Blue, or Maytag Iowa Blue Cheese with PLU numbers beginning with 854089001.",Product may be contaminated with Listeria monocytogenes.,Hy-Vee Stores Inc,Class I,Terminated,Voluntary: Firm initiated,"Product was distributed to IA, IL, MO, KS, NE, SD, MN, and WI.  There was no foreign/government/military distribution.","Use by dates:  Jan. 20, 2016 through May 3, 2016.",Food,West Des Moines,IA,United States,20160303,20160826,20160907,73431
F-1858-2019,SABRA ROASTED RED PEPPER HUMMUS SINGLES - 6PK  UPC: 4082234273,Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,"C & S Wholesale Grocers, Inc.",Class II,Terminated,Voluntary: Firm initiated,"Two Target Stores 1. 98 Veterans Memorial Highway in Commack, New York 2. 160 North Research Place in Central Islip, New York","Exact codes are unknown. The product being recalled was sold on June 17, 2019 at Target Stores in Commack, NY and Central Islip, NY.",Food,Westfield,MA,United States,20190617,20190724,20190731,83178
H-0417-2026,"SOMA KITCHEN NATURAL ASAFOETIDA Net Wt. 4 oz (0.25 lb) Product of India Manufactured for and Imported by: Bharat Bazar, Fremont, CA 94539 Use by : JULY-2027 Lot : NATL/ASFTP/G/24 (BB/ASFTP/G/24) UPC : 4 973993 173586 Ingredients :- Natural Hing",Undeclared wheat.,BHARAT BAZAR,Class II,Ongoing,Voluntary: Firm initiated,U.S. distribution: CA Foreign distribution: N/A,Use by : JULY-2027 Lot : NATL/ASFTP/G/24 (BB/ASFTP/G/24) UPC : 4 973993 173586,Food,Union City,CA,United States,20251205,20260123,20260204,98151
F-1098-2022,Cheese & Scallion Pierogi  Grandma s Cuisine Cheese & Scallion Pierogi UPC: 8 67355 00040 2	16oz (454g) / 1 dozen,Undeclared milk,DYMSKI PIEROGI LLC,Class II,Terminated,Voluntary: Firm initiated,"Distributed to retail stores, restaurants, and distribution centers in NJ, MA, and PA.",all lots,Food,E Stroudsburg,PA,United States,20220506,20220527,20220608,90144
F-1836-2014,Bacon Cold Pack Cheese sold under the following sizes and brands:    1.   Parkers Farm or Parkers label in 8 ounce (14002) and 14 ounce (17002) cups with snap on lid; 5 lb. Cheeseball Base - Bacon (14441) and 10 lb. (61760) pail with snap on lid;     2.  Bucky Badger in 8 oz. (31611) and 14 oz. (41611) cups with snap on lid.,"Various Peanut butters, cheese spreads, cold pack cheese, salsa, cheese balls/logs have the potential to be contaminated with Listeria monocytogenes.",Parkers Farm Inc,Class I,Terminated,Voluntary: Firm initiated,Nationwide.  No distribution outside the US.,Sell by Date before 3/20/2015,Food,Coon Rapids,MN,United States,20140321,20140416,20140423,67806
F-1916-2013,"Dietary Supplements under the same formulation, Labeled and Packaged in the Following:    MAX Brand Proste-Support, 150 Count Tablets.  Product labeling reads in part:""Manufactured for: HealthMax Products Inc. Altadena, CA 91001***"".","In response to a FDA inspection, the firm initiated this voluntary recall of various dietary supplements due to the following problems of mislabeling: 1) product named on the label is not actual product contained; 2)ingredients listed are not actual ingredients contained.",Healthmaxx Global Inc.,Class III,Terminated,Voluntary: Firm initiated,"CA, MD, and NY",Lot # D0915,Food,Hacienda Heights,CA,United States,20130610,20130924,20131002,65733
F-2581-2017,"Kite Hill Almond Yogurt, Peach,  NET WT.  5.3 oz (150G)    Case UPC: 8-56624-00415-9    Distributed by Lyrical Foods, Hayward, CA.",Lyrical Foods is voluntarily recalling four flavors of Kite Hill Almond Yogurt with best by dates 07/03/17 and 07/04/17 as some of these packages have spoiled before the best by date.,Lyrical Foods Inc,Class II,Terminated,Voluntary: Firm initiated,"US Distribution only to distributors in OR, CA, GA, CT, IA, TX, OH, CO, WA, NH, IN, NY, SC, FL, WI",Best Before 07/03/2017.,Food,Hayward,CA,United States,20170607,20170713,20170719,77471
F-0438-2021,"El Sembrador Peas and Carrots, poly bags, 12/16 oz",Product may contain a foreign object (blue plastic).,Bonduelle USA Inc.,Class II,Terminated,Voluntary: Firm initiated,FL,Daycode: K10635  UPC: 009933600210  Best By 03/23,Food,Brockport,NY,United States,20210316,20210420,20210421,87583
F-2794-2015,"Foil bags containing 2.2 lbs. each of blueberry flavored powder and sold under the Boba Direct, Inc. brand.",Bubble tea powders contain undeclared allergens.,"Boba Direct, Inc.",Class II,Terminated,Voluntary: Firm initiated,"US: IL, MO, OH, FL, and TN",Product code: BlueberryPwdr-BD; All lots,Food,Mundelein,IL,United States,20130109,20150707,20150715,64079
F-0379-2025,"Nick The Greek Spicy Yogurt Pail, 42lbs pail, UPC 10075365177756, SKU SA000085",potential for salmonella,Grecian Delight/Kronos,Class I,Terminated,Voluntary: Firm initiated,AR CA CO FL GA ID IL IN KS KY LA MD MI MN MO MS NC NJ NV NY OH PA SC TN TX VA WI,Lot 4305,Food,Elk Grove Village,IL,United States,20241202,20250103,20250115,95924
F-0096-2022,"Picket Fence Creamery, Woodward, IA, Chocolate Cherry ice cream, in Quarts, Pints, and 1/2 Pints",Undeclared soy lecithin.,Picket Fence Creamery L.L.C.,Class II,Terminated,Voluntary: Firm initiated,Distributed to grocery stores in Iowa.,best if used by  date of 3/31/22 or before,Food,Woodward,IA,United States,20210915,20211104,20211110,88727
F-2439-2016,"UPC 071725711939,	Amport Foods Milk Chocolate Peanuts, Best By/Date Code: 1/7/2017 .",TreeHouse Foods is recalling products that may be impacted by sunflower seeds  contaminated with Listeria monocytogenes.,Treehouse Foods,Class I,Terminated,Voluntary: Firm initiated,"US: AL, AZ, AR, CA, CO, CT, FL, IL, IN, IA, KS,KY, LA, ME, MD, MA, MI, MN,  MS,  MO, NE, NV, NM, NY, NC,ND, OH, OK, OR, PA,SC, TN, TX, UT, VA, WA, WI, WY.    OUS: HONDURAS, NICARAGUA, CHILE.",Best By/Date Code: 1/7/2017,Food,Oak Brook,IL,United States,20160503,20160930,20161012,74041
F-1733-2012,"Coca Cola Zero, 20 fl. oz., The Coca Cola Company.",The product may exhibit off odor and off taste due to low levels of ammonium salts that may exist in these beverages.,"Coca-Cola Refreshments, USA Inc.",Class II,Terminated,Voluntary: Firm initiated,"MO, IA and IL.","UPC 49000 04086, Optimum Taste Code; AUG062 SLA 12:52-13:44",Food,Atlanta,GA,United States,20120601,20120706,20120718,62131
F-1504-2017,"Palmer's Candies Swirled Pretzels NET WT 5 OZ (141 g) packaged in foil bags, UPC Code 77232-13990",Product contains an ingredient that was recalled by a supplier because it may be contaminated with Salmonella,"Palmer and Company, dba Palmer Candy Co",Class I,Terminated,Voluntary: Firm initiated,"Product distributed to grocery stores and grocery store distribution centers in AL, AR, AZ, CA, FL, GA, IA, IL, IN, KS, KY, LA, ME, MI, MN, MO, MS, NC, NE, NM, NV, NY, OH, OK, PA, SC, SD, TN, TX, UT, VA, WA, WI, and WY","Exp 8/30/2017, 9/7/2017",Food,Sioux City,IA,United States,20170109,20170217,20170301,76154
F-0502-2016,"Sweet Leaf Organic Raspberry Iced Tea, 16 oz glass bottle  UPC: 6-51538-06703-6",Product contains glass particles,Nestle Waters North America,Class II,Terminated,Voluntary: Firm initiated,Nationwide,"Best By Dates:  6/30/16,  8/31/16, 10/31/16",Food,Stamford,CT,United States,20151209,20160112,20160120,72821
F-1634-2022,"Sysco Imperial Med Plus 2.0 butter Pecan Nutritional Drink.  High Calorie, High Protein.   Mildly Thick Nectar Consistency.    32 FL OZ (1 QT)  946mL  UPC 0 74865-92732 1.  Reorder # 0108936.  12 count case UPC 10074865927328.      Refrigerate prior to serving.  Shake well.   Refrigerate after opening and use within 3 days.    Distributed by  Sysco Corporation, Houston, Texas  77077.",Findings and potential for Cronobacter sakazakii and Clostridium botulinum.,"Lyons Magnus, Inc",Class I,Terminated,Voluntary: Firm initiated,Nationwide,Lot Code 0012 / Best By Date 1/5/2023;     Lot Code 1412 / Best By Date 2/15/2023;           Lot Code 9512 / Best By Date 3/5/2023;     Lot Code 9902 / Best By Date 1/4/2023.        EXPANED 8-10-2022  Lot Code 0231 / Best By Date 08/12/2022.     Lot Code 0231 / Best By Date 08/13/2022.     Lot Code 0702 / Best By Date 12/06/2022.     Lot Code 1702 / Best By Date 12/07/2022.     Lot Code 6702 / Best By Date 12/12/2022.     Lot Code 7102 / Best By Date 10/14/2022.     Lot Code 8302 / Best By Date 11/04/2022.     Lot Code 8431 / Best By Date 09/10/2022.     Lot Code 9131 / Best By Date 08/12/2022.,Food,Fresno,CA,United States,20220722,20220830,20220907,90667
F-3016-2015,"Steamables California Blend, Net Wt. 10 Oz., Dist. By Fresh Frozen Foods, Inc., Jefferson, GA 30549, UPC 0-86069-11275-5,  Fresh Frozen California Blend, Net Wt. 16 Oz. (1 Lb.), Dist. By Fresh Frozen Foods, Inc., Jefferson, GA 30549, UPC 86069-20013-1, Fresh Frozen Grade A California Blend, Net. Wt. 32 Oz. (2 Lb.), Dist. By Fresh Frozen Foods, Jefferson, GA 30549, UPC 0-86069-20011-7, Fresh Frozen Grade A California Blend, Net Wt. 80 Oz. (5 Lb.) 2268g, Dist. By Fresh Frozen Foods, Jefferson, GA 30549, UPC 86069-50011-8, Fresh Frozen Grade A Premium California Blend, Net Wt. 32 Oz. (2 Lb.) 907g, Dist. By Fresh Frozen Foods, Inc., Jefferson, GA 30549, UPC 86069-20014-8, The Inn Grade A Fancy California Blend, Net Wt. 32 Oz. (2 LB) (907g), Packed For Inn Foods Inc., 310 Walker St., Watsonville, CA 95076, UPC 86289-20420-9",Listeria contamination due to various GMP violations. possible.,Inventure Foods,Class I,Terminated,Voluntary: Firm initiated,"AL, AR, AZ, CA, FL, GA, IL, IN, KS, KY, LA, MD, MA, MI, MN, MS, MO, MT, NE, NJ, NY, NC, OH, OK, PA, SC, TN, TX, VT, VA, WI and WV.","UPC 0-86069-11275-5 FF Item Number S814, UPC 0-86069-20013-1 FF Item Number 81499, UPC 0-86069-20011-7 FF Item Number 814, UPC 0-86069-50011-8 FF Item Number 815, UPC 0-86069-20014-8 FF Item Number 813, UPC 86289-20420-9",Food,Phoenix,AZ,United States,20150423,20150817,20150826,71070
