status,city,state,country,classification,product_type,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,recall_initiation_date,center_classification_date,termination_date,report_date,code_info,more_code_info
Terminated,Tucker,GA,United States,Class I,Food,68761,CSM Bakery Products NA-Atlanta Frozen,3301 Montreal Industrial Way,N/A,30084-5211,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","AL, GA, FL, IL, IN, MA, MD, MI, NJ, NY, NV, OH, PA and VA.",F-1415-2015,"TranSmart Raspberry Filled frozen unbaked cookie dough, 108/1.75 oz. units, CSM Bakery Products, 3301 Montreal Industrial Way Tucker, GA 30084..",577 cases (108 frozen pucks per case),Undeclared Allergen; Peanuts.,20140626,20150312,20150326,20150318,"CSM Item Code: 31566200, Lot code: 5AF 1411901030",
Terminated,Minneapolis,MN,United States,Class II,Food,79663,Target Corporation,33 S 6th St,N/A,55402-3601,Voluntary: Firm initiated,Telephone,HI,F-1328-2018,Market Pantry Vanilla Ice Cream 128oz    UPC: 85239014943    Target item number: 288-7-307,2652 retail units total,Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,20180327,20180503,20180503,20180509,"All product purchased at  Target store T2780, Honolulu, HI from March 23 through March 27, 2018.",
Terminated,Kent City,MI,United States,Class I,Food,78793,Nyblad Orchards,16171 Fruit Ridge Ave,N/A,49330-9752,Voluntary: Firm initiated,Telephone,Domestic: Michigan    Foreign/VA/DOD: None,F-0616-2018,"Golden delicious whole fresh apples,   Apple Ridge 5lb, 2-3/4  apples, packaged in red net mesh bags  ""	3lb, 2-1/2  apples, packaged in poly bags  ""	2lb, 2-1/2  apples, packaged in poly bags  ""	45ct individual apples on trays with re-useable plastic container boxes  ""	50ct, individual apples on trays with re-useable plastic container boxes  ""	55ct, individual apples on trays with re-useable plastic container boxes  ""	60ct  individual apples on trays with re-useable plastic container boxes  ""	78ct individual apples on trays with re-useable plastic container boxes  ""	50ct, individual apples on trays in cardboard tray  boxes  ""	55ct, individual apples on trays in cardboard tray  boxes",5278 units shipped,Nyblad Orchards Inc. initiated a voluntary recall of multiple varieties of whole fresh apples due to potential contamination with Listeria monocytogenes.,20171214,20180124,20180406,20180117,"NOI LOT #163, #164, #165, #166, #167, #168, #169, #159, #160, #173, #174.  These are on all plastic bag enclosures, mesh labels, and case labels for every pack.",
Terminated,Lovell,WY,United States,Class II,Food,90158,"Queen Bee Gardens, LLC",262 E Main St,N/A,82431-2102,Voluntary: Firm initiated,Press Release,"Ten retail locations owned by Queen Bee in CO, NM, WY and nationwide via internet sales.",F-1472-2022,"Honey Caramels Blue Raspberry. Product available in 5.87 oz. bag, 1 lb. bag, 3 lb. bag, 6 lb. bag. PLU Code for 5.87 oz. bag: 788394 12675 8.",171 pieces,"Products may potentially contain one or more of the following undeclared tree nuts: Pecans, Almonds, Coconut, Macadamia Nuts, & Walnuts.",20220428,20220719,20230117,20220727,None,
Terminated,Sioux City,IA,United States,Class I,Food,94571,Palmer & Company,311 Bluff St,,51103-5401,Voluntary: Firm initiated,E-Mail,Nationwide United States and Canada,F-1671-2024,"1. Palmer Candy Drizzled Caramel Corn, Item 19271, Net Wt. 16/5oz tubs, UPC 77343 19271 2. Meijer Drizzled Caramel Popcorn Snack Bowl, Net Wt. 12oz, UPC 60236 18830, 8/12oz case",,Potential salmonella contamination,20240503,20240806,20251121,20240814,1. Best by date: 1/22/25 2. Best by date: 1/22/25,
Terminated,Lenexa,KS,United States,Class II,Food,79216,Heartland Coca-Cola Bottling Company,10001 Industrial Blvd,N/A,66215-1209,Voluntary: Firm initiated,Letter,"Distributed to retail stores in AR, IA, IL, KS, MO, and NE.",F-0894-2018,"Grape Fanta, Grape Flavored Soda, 12 oz (355 mL) cans, packed in 12 packs, Canned under the authority of the Coca-Cola Company, Atlanta, GA","766,271 Cases Total",Sharp edges were observed on several of the cans which have the potential of causing cuts on the mouths of consumers who use the product.,20180212,20180307,20180705,20180314,Oct 08 18 LXC,
Terminated,Nof Ha-Galil,,Israel,Class I,Food,90105,ELITE CONFECTIONERY LTD,Nazareth-Ilit,"5, Gilbo'A",N/A,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Distributed in the US nationwide,F-1233-2022,ELITE MILK CHOCOLATE COATED RICE CAKES  UPC:815871011884	NET WT 2.47OZ (70 g),unknown,Potential contamination with Salmonella,20220428,20220604,20221103,20220615,All lots,
Ongoing,San Luis,AZ,United States,Class I,Food,93920,HandNatural,874 S Main St,,85349-7500,Voluntary: Firm initiated,E-Mail,Firm is  100% internet sales. Distribution is unknown at this time.,F-1170-2024,"H&NATURAL 2 PACK! BRAZIL SEED 60 PIECES, PURE NATURAL SEMILLA DE BRASIL FOR 60 DAYS, 5 GRAMS PER BOX, 2 BLACK BOXES.",,Product recalled due to the presence of yellow oleander and its components in the product.,20240209,20240416,,20240424,No Lot code on label. Expiration date listed as 05/24 and 03/24.,
Terminated,Kapaa,HI,United States,Class I,Food,68994,"Florimont, Inc.",5915 Olohena Rd,Unit H,96746-7709,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",HI only,F-2387-2014,"Tiny Isle Chocolate Truffles Macadamia Nut: Gluten Free, Raw, Vegan; individual 1 oz. candies,    Tiny Isle  5915 Olohena Road, Unit H  Kapaa, HI 96746",All,Candy was made using carob powder that is currently under recall by the direct supplier due to potential Salmonella contamination.,20140725,20140825,20141104,20140903,UPC for single truffles: 11386711886    No lot codes or expiry dates,
Terminated,Dayton,OH,United States,Class II,Food,92726,Cassanos Inc,1700 E Stroop Rd,N/A,45429-5040,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed to: CO, FL, IN, IL, KY, MI, OH, PA, WV",F-1354-2023,"San Marco Premium Dough on Parchment: packaged as 8in, 14in",24575 cases total,Undeclared Allergen - Soy Flour,20230718,20230802,20230927,20230809,"Lot: 159, 186 Expiration Date: 12/07/23, 01/03/24 Product No. 4226, 4227",
Terminated,Ventura,CA,United States,Class I,Food,76035,"Altijira Murray Products, LLC",675 E Santa Clara St Unit 2087,N/A,93002-7115,Voluntary: Firm initiated,Press Release,"U.S. distribution to the following; CA, NY.    No foreign distribution.",F-1540-2017,foxy's california pistachio  1 Pint,400 cases (total),Potential Listeria monocytogenes contamination.,20161220,20170224,20170330,20170308,"Best By: March 17th 2017, March 18th 2017, March 19th 2017, March 20th 2017",
Ongoing,Detroit,MI,United States,Class II,Food,98506,Uncle Ray's LLC,14245 Birwood St,N/A,48238-2207,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",NC,H-0552-2026,"Lowes Foods sour cream and onion flavored potato chips, 8oz. bag, UPC 7 41643 05576 6, 9 retail units per case",2800 cases,"Inaccurate nutritional data in Nutrition Facts including but not limited to, understated sodium content. Undeclared ingredients including but not limited to, monosodium glutamate.",20260225,20260310,,20260318,"21FEB2026, 28FEB2026, 12MAR2026, 19MAR2026, 02APR2026, 01JUL2026, 15JUL2026, 01OCT2026, 22OCT2026, 19NOV2026, 09DEC2026",
Terminated,Sebastopol,CA,United States,Class II,Food,76589,"Manzana Products Co.,  Inc.",9141 Green Valley Rd,,95472-2245,Voluntary: Firm initiated,Telephone,Nationwide.,F-1643-2017,"Trader Joe's First Crush Unsweetened Gravenstein Apple Sauce;   24 oz. glass jar.  Best Before date stamped on top of lid.    UPC:00015905     Distributed by Trader Joe's, Monrovia, CA","70,157 jars",Manzana Products Co. is initiating a recall of three varieties of apple sauce after receiving customer complaints or finding small pieces of glass in the product.,20170224,20170320,20190529,20170329,"ALL CODES  Through AUG 08, 2018",
Terminated,City Of Industry,CA,United States,Class II,Food,70344,Health One Pharmaceuticals Inc,13260 Temple Ave,N/A,91746-1511,Voluntary: Firm initiated,Letter,"Nationwide in US: CA, TN, WA, ID,     and worldwide:  Hong Kong, Vietnam, China, Singapore",F-1681-2015,EST -700 Calcium,1035 units,Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,20150204,20150330,20150331,20150408,8520,
Terminated,Coloma,MI,United States,Class II,Food,71948,"Coloma Frozen Foods, Inc.",4145 Coloma Rd,N/A,49038-8967,Voluntary: Firm initiated,Letter,"Domestic: MI, IN, IL, WI, MO, NE, OH    Foreign: Canada  DOD/VA: None",F-3091-2015,"Red Tart Pitted Cherries, Straight Packed (No Sugar),  5 lbs. bulk pails, 30 lbs, in bulk pails","146,220 lbs. Total","Potential for adulteration - elevated mold, yeast, and coliform counts",20150807,20150909,20160428,20150916,Lot Codes: 15190  15191  15196  15198  15200  15201  15202  15203  15204  15205  15212  15215  43145  43146  43147  43148  43149  43150  43151  43152  43153  43155  43156  43157  43158  43159  43160  43161  43162  43163  43164  43165  43166  43167  43168  43169  43170  43171  43172  43173  43174  43175  43176  43177  43178  43179  43180  43181  43182  43183  43184  43583  43584  43585  43586  43587  43588  43589  43590  43591  43592  43593  43594  43595  43596  43597  43598  43599  43600  43601  43602  43603,
Terminated,Lake Forest,IL,United States,Class II,Food,97043,Carley's Inc.,162 E Foster Pl,,60045-3046,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product is shipped to wholesalers who further distribute to retail stores. Wholesalers are located in IL, MI, IA, LA, MD, PA, VA, MN, AL, TX, GA, SC, NY, NC, WV,",H-0088-2025,"Carley s Soft Baked Iced Lemon Cookies, 5.34oz Plastic Tray, clear film overwrap w/ Label, 12 units per case","5,826 cases","Product has a misbranded Yellow Color.  Identified on label at  Artificial Yellow Color , and it should be identified as  FD&C Yellow #5",20250606,20250625,20250723,20250702,UPC Code: 7 40235 50011 0 Exp Date-Lot Code 01726-040225 11245-012825 031026-051425 061925-082324 080525-100924 081725-102124 091025-111424 061925-082324 112425-012825,
Terminated,Colonial Heights,VA,United States,Class I,Food,70934,"Sabra Dipping Company, LLC",15900 Sabra Way,,23834-5935,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",The product was distributed nationwide.,F-2085-2015,"Sabra Classic Hummus, 17oz Six Pack UPC 040822017497 / 301290  Sabra Dipping Co. LLC, White Plains, NY",9312 Cases,Michigan Dept. of Agriculture collected a sample of Sabra Hummus that came up positive for L. Monocytogenes.  Baltimore District is  working with VDACS to investigate.,20150407,20150428,20150826,20150506,UPC/SKU    040822017497 / 301290,
Terminated,Brenham,TX,United States,Class I,Food,70738,"Blue Bell Creameries, L.P.",1101 S Blue Bell Rd,,77833-4413,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","FL, GA, SC, NC, VA, OH, KY, TN, AL, MS, IN, IL, MT, AR, LA, TX, Ok, KS, NM, CO, WY, AZ, NV and Bermuda, Belize, Saudia Arabia, Yemen, Oman, UAE, Qatar, Egypt, Jordan, Kuwait, Dominican Republic, Panama, Turks and Caicos, Haiti, Trinadad and Tobago, Puerto Rico, Chile, Peru, China, Mexico, Philippines, Tortola, St. Thomas and St. Croix, Anguilla, St, Kitts and Nevis, Montserrat, and Dominica",F-2543-2015,Blue Bell Ice Cream Blueberry Cheesecake Still a 1/2 Gal (2 QTS),"503,367 units",Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,20150313,20150619,20161103,20150701,all lot codes within expiry,
Terminated,Gardena,CA,United States,Class I,Food,74243,"Let's Do Lunch, Inc.",310 W Alondra Blvd,,90248-2423,Voluntary: Firm initiated,Letter,U.S. distribution nationwide.     No foreign distribution.,F-1892-2016,Integrated Food Service  Turkey Breast & Cheese Sandwich  on a Whole Grain French Roll  Code #C16001/160001,,Potential Listeria monocytogenes contamination.,20160523,20160805,20170531,20160817,Lot #040115-050616,
Terminated,Saint Petersburg,FL,United States,Class I,Food,81156,Working Cow Homemade Inc.,4711 34th St N Unit F,,33714-3060,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",US Consignees only. No foreign nor government consignees.,F-0441-2019,"Vanilla Bean Ice Cream, 3 gallons",8286 tubs,Products may be contaminated with  Listeria monocytogenes.,20180928,20181113,20190426,20181121,"""8/29/2017 - 10/11/2018""",
Terminated,Lakeland,FL,United States,Class I,Food,64493,"Publix Super Markets, Inc.",3300 Publix Corporate Pkwy,N/A,33811-3311,Voluntary: Firm initiated,E-Mail,Florida,F-1146-2013,Publix 7 inch Cookies Cream Layer Cake  Scale ID Number * 002-16466-00000 *The last five digits of the scale ID number contain the unit price. For example $4.99 would have the last five digits ending 00499.,N/A,Maplehurst Deli-Bake South Inc. the cake supplier notified Publix Super market of a contamination with Listeria Monocytogenes on 11/15/2012.,20121115,20130313,20130517,20130320,"Recalled products were distributed from November 11, 2012 through November 15, 2012.",
Terminated,Coldwater,MS,United States,Class II,Food,84863,Southern Sisters Gourmet,5377 Highway 306,N/A,38618-5119,Voluntary: Firm initiated,Telephone,"Distributed in the states of AL, AR, FL, GA, IL, LA, MS, OK, and TX.",F-0913-2020,"Southern Sisters Gourmet Cheddar Garlic Biscuits, Net Wt 16 oz (453.6 g)",Unknown,Undeclared allergen: Wheat  Undeclared colors: Yellow #5 and #6.,20200128,20200417,20210216,20200401,Products are not coded.,
Terminated,Owings Mills,MD,United States,Class II,Food,94829,"Totally Cool, Inc.",38 Gwynns Mill Ct,N/A,21117-3512,Voluntary: Firm initiated,E-Mail,Distributed nationwide.,F-1594-2024,"Marco Turkish Mocha Ice Cream 16 fl oz/1 pint, UPC 860001992885. Packaged in paper containers, 8 containers per case.",15541 cases,Possible contamination with Listeria monocytogenes,20240613,20240801,20241008,20240807,All Best by Dates: 06/07/24 to 12/11/25 Codes between: 2312341 to 2406163,
Terminated,Seattle,WA,United States,Class I,Food,78335,Triple B Corporation,4103 2nd Ave S,N/A,98134-2305,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","distributed in Alaska, Idaho, Montana, Oregon, and Washington",F-0163-2018,"Stir Fry Kit,  Alaska Carrot, 1 x 11 lb. per case, UPC 45009 85749 1    The ingredient: Green cabbage, yellow onion, broccoli florette, carrot plugs.",42 cases,"Stir Fry Kit product is recalled due to possible contamination with Listeria monocytogenes. The broccoli used in processing this item has been recalled by vendor Mann Packing of Salinas, California.",20171020,20171113,20171206,20171108,Pack Date: 10/13/2017.  Use By: 10/20/2017,
Terminated,Saint Petersburg,FL,United States,Class I,Food,81156,Working Cow Homemade Inc.,4711 34th St N Unit F,,33714-3060,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",US Consignees only. No foreign nor government consignees.,F-0583-2019,"JY Spiderman Ice Cream, 3 gallons",42 tubs,Products may be contaminated with  Listeria monocytogenes.,20180928,20181113,20190426,20181121,"""8/29/2017 - 10/11/2018""",
Terminated,Monterey,CA,United States,Class I,Food,69128,Dole Fresh Vegetables Inc,2959 Salinas Hwy,N/A,93940-6400,Voluntary: Firm initiated,Telephone,"One distribution center in AZ and retail stores in AZ, NM and NV.",F-2441-2014,"Dole Baby Spinach:  Thoroughly Washed, Preservative Free, All natural  Net W.t6 oz. bag;  SKU 323  Perishable, keep refrigerated.  UPC 071430009642;    Dole Fresh Vegetables  Monterey, CA  93940",150 cartons (6 x 6 oz bags per carton),Green Walnuts from a tree dropped into spinach as it was being tractored away from the harvested field. Walnuts were discovered on the Dole spinach processing line,20140827,20140915,20140917,20140924,Bag Code                        Expiration Date  B2311020  9/4/2014   B23110211 9/4/2014  B2311022  9/4/2014  B2311023  9/4/2014  B2311024  9/4/2014  B2311025  9/4/2014.,
Terminated,Spokane Valley,WA,United States,Class I,Food,70150,Numbskull LLC,9608 E Montgomery Ave Ste 5,N/A,99206-4162,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Washington and Idaho ice cream scoop shops and restaurants.,F-1182-2015,"Pear Sorbet; Bulk product is labeled with flavor name and date code, which is affixed to the plastic container (1, 1.5 and 3 gallon).",Approx 3 gallons,The recalling firm was notified that raw materials used in producing the ice cream products have the potential to be contaminated with Listeria monocytogenes,20141223,20150211,20150223,20150218,"All codes manufactured from January 1, 2014 - December 15, 2014. (""MMDD"" and ""XXXX""-Snoqualmie Gourmet Ice Cream Code)",
Terminated,Moosic,PA,United States,Class II,Food,65754,Red Mill Farms,591 Rocky Glen Road,,18507,Voluntary: Firm initiated,E-Mail,"PA, GA, NH.",F-1796-2013,"individual 2 oz chocolate macaroons packaged in plastic wrapper labeled as "" Jennies DUTCH CHOCOLATE MACAROON, 2 oz. Red Mill Farms, Inc., Brooklyn, NY"".",31 cases,A recall was initiated as a result of an undeclared sugar ingredient in the labeling used for Jennies' Dutch Chocolate Macaroons.,20130320,20130809,20141020,20130821,Expiration dates 12/1/13 and 1/13/14.,
Terminated,Grand Rapids,MI,United States,Class I,Food,73353,"Savory Foods, Inc.",900 Hynes Ave SW,N/A,49507-1076,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Domestic: Jackson, MI; Toledo, OH; Grand Rapids, MI; Urbana, OH; Hudsonville, MI; Columbus, OH; Lansdale, PA; and Charlton, MA.    No Foreign or DOD/VA",F-2473-2016,"1.5 oz PEANUT BUTTER COOKIES, 80/case",15 cases,Savory Foods Inc. has initiated a voluntary recall due to the potential for contamination with Listeria monocytogenes.,20160211,20160930,20161028,20161012,"1.5 oz PEANUT BUTTER COOKIES, 80/case; Product Code/Lot Code: 16033",
Terminated,Minneapolis,MN,United States,Class I,Food,63267,G.O. Fresh,2521 E Hennepin Ave,N/A,55413-2911,Voluntary: Firm initiated,Letter,"Minnesota, Iowa, North Dakota and Wisconsin",F-0091-2013,"SYSCO Imperial	6520795	1/5# FRUIT MIX CHUNKS 3/4""	130249 & 130250	BEST BY 9/15/12 & 9/16/12, UPC# 1007 4865393314.",721 TOTAL CASES FOR ALL PRODUCTS,"G.O. Fresh in Minnesota is voluntarily recalling specific cut items that contain cantaloupe, which has been recalled by DFI Marketing, Inc. due to potential Salmonella contamination.",20120913,20121011,20130214,20121017,"BEST BY 9/15/12 & 9/16/12,",
Terminated,New York,NY,United States,Class II,Food,80580,Sugar Foods Corporation Inc,"950 3rd Avenue, 21st Floor",N/A,10022,Voluntary: Firm initiated,Telephone,"CA, CO, UT, WA, GA, TX",F-1804-2018,"Homestyle Italian Seasoned Croutons:  1 lb. foil pouch  Item # 74384              Sugar Foods Corporation  6190 E. Slauson Ave.  Los Angeles, CA 90047",216 Cases (10 x 1.lb. pouches per case),Recalled whey powder was used in further production of numerous food products.,20180720,20180813,20180918,20180808,2280703   Best By 4/3/2019,
Terminated,Amityville,NY,United States,Class II,Food,66765,"Global Health Laboratories, LLC",9500 New Horizons Blvd,N/A,11701-1155,Voluntary: Firm initiated,Letter,New York,F-1105-2014,"UT-Fem¿ FOR WOMEN, urinary tract SOLUTION, Dietary Supplement, 42 Vegetable Capsules, Product No. 110403, UPC 7 98304 24865 4 -- Manufactured for: Global Quality Health Inc.",1495 bottles,"The finished dietary supplement product was manufactured with ingredients subsequently found to be contaminated with chloramphenicol, an antibiotic, at levels above 0.3 ppb.  The supplier, Specialty Enzymes & Biotechnologies, recalled the raw materials and notified the recipients.  Subsequent private laboratory testing of the finished product revealed levels of chloramphenicol above 0.3 ppb.",20131107,20131218,20170308,20131225,Lot Number 1256074,
Ongoing,Paterson,NJ,United States,Class II,Food,98171,"GUSTO GROUP, INC.",810 E 27th St,,07513-1215,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","The recalled product was distributed to the following states: IA, NJ",H-0389-2026,"Shrimp Paste (Klong Kone) 'M' ,  16 oz, 24 count , PLastic Jar,  24 packages/ case",7 cases,Product tested high for lead.,20251119,20260109,,20260121,DPA159  Shrimp Paste (Klong Kone) 'M',
Terminated,Jessup,MD,United States,Class I,Food,93540,"TGD Cuts, LLC",8441 Dorsey Run Rd Unit B,N/A,20794-9359,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Distributed in PA, NJ, MD, WV, SC VA, DE, NC, and NY",F-0678-2024,MIX FRUIT ALOHA BOWL 3/48 OZ Packaged in clamshell container. UPC:840219170299,189 units,Potential Salmonella Contamination,20231129,20240102,20240925,20231227,Use By Start Date: 11/2/2023  Use By End Date: 11/23/2023,
