fdc_id,description,brand_owner,brand_name,gtin_upc,ingredients,food_category,serving_size,serving_size_unit,published_date,market_country,data_source,search_term
2678649,"COCA-COLA, COLA",Coca-Cola USA Operations,COCA-COLA,04963406,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR, PHOSPHORIC ACID, NATURAL FLAVORS, CAFFEINE. ",Soda,355.0,MLT,2023-11-16,United States,LI,coca cola
1999231,"COCA-COLA FLAVORED MINTS, COCA-COLA","Ferrero U.S.A., Incorporated",TIC TAC,009800005000,"SUGAR* , DEXTROSE , RICE STARCH, COCA-COLA DRINK (WATER , SUGAR, CARAMEL COLOR , PHOSPHORIC ACID , NATURAL FLAVORS) , MALTODEXTRIN , NATURAL AND ARTIFICIAL FLAVORS , GUM ARABIC , CITRIC ACID , TARTARIC ACID , MAGNESIUM STEARATE, SHELLAC AND CARNAUBA WAX AS GLAZING AGENTS, RED 40.",Chewing Gum & Mints,5.0,g,2021-07-29,United States,LI,coca cola
2742338,"Coca-Cola Bottle, 1.25 Liters",Coca-Cola,Coca-Cola,00049000055375,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR, PHOSPHORIC ACID, NATURAL FLAVORS, CAFFEINE.",Non Alcoholic Beverages - Ready to Drink,355.0,MLT,2025-09-18,US,GDSN,coca cola
768794,"Coca-Cola Bottle, 1.75 Liters",The Coca-Cola Company-0049000000016,,00049000057942,"INGREDIENTS: CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR, PHOSPHORIC ACID, NATURAL FLAVORS, CAFFEINE.",Non Alcoholic Beverages  Ready to Drink,360.0,ml,2020-02-27,United States,GDSN,coca cola
2742541,"Coca-Cola Bottle, 2 Liters",Coca-Cola,Coca-Cola,00049000050103,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR, PHOSPHORIC ACID, NATURAL FLAVORS, CAFFEINE.",Non Alcoholic Beverages - Ready to Drink,355.0,MLT,2025-09-18,US,GDSN,coca cola
1459860,.75OZ DORITOS NACHO,Pepsico Inc.,Doritos,00028400027540,"Corn, Vegetable Oil (Corn, and/or Sunflower Oil), Cheddar Cheese (Milk, Cheese Cultures, Salt, Enzymes), Salt, Buttermilk, Whey Protein Concentrate, Whey, Monosodium Glutamate, Tomato Powder, Romano Cheese (Part-Skim Cow's Milk, Cheese Cultures, Salt, Enzymes), Onion Powder, Maltodextrin (Made from Corn), Natural and Artificial Flavors, Garlic Powder, Artificial Color (Including Yellow 6 Lake, Yellow 5, Yellow 6, Red 40 Lake), Dextrose, Sugar, Spice, Citric Acid, Lactic Acid, Parmesan Cheese (Milk, Cheese Cultures, Salt, Enzymes), Disodium Inosinate, and Disodium Guanylate.",Snacks,21.200000762939453,g,2021-03-19,United States,GDSN,doritos
1457601,1.37OZ DORITOS NACHO,Pepsico Inc.,Doritos,00028400021524,"Corn, Vegetable Oil (Corn, and/or Sunflower Oil), Cheddar Cheese (Milk, Cheese Cultures, Salt, Enzymes), Salt, Buttermilk, Whey Protein Concentrate, Whey, Monosodium Glutamate, Tomato Powder, Romano Cheese (Part-Skim Cow's Milk, Cheese Cultures, Salt, Enzymes), Onion Powder, Maltodextrin (Made from Corn), Natural and Artificial Flavors, Garlic Powder, Artificial Color (Including Yellow 6 Lake, Yellow 5 Lake, Yellow 6, Red 40 Lake), Dextrose, Sugar, Spice, Citric Acid, Lactic Acid, Parmesan Cheese (Milk, Cheese Cultures, Salt, Enzymes), Disodium Inosinate, and Disodium Guanylate.",Snacks,38.900001525878906,g,2021-03-19,United States,GDSN,doritos
1458737,2.12OZ DORITOS TAPATIO,Pepsico Inc.,Doritos,00028400034876,"Whole Corn, Vegetable Oil (Corn, Canola, and/or Sunflower Oil), Tapatio Seasoning (Spices, Maltodextrin [Made from Corn], Cheddar Cheese [Milk, Cheese Cultures, Salt, Enzymes], Salt, Whey, Monosodium Glutamate, Natural Flavor, Buttermilk, Romano Cheese [Part Skim Cow's Milk, Cheese Cultures, Salt, Enzymes], Whey Protein Concentrate, Onion Powder, Sodium Diacetate, Corn Oil, Citric Acid, Dextrose, Artificial Color [Including Red 40 Lake, Yellow 6, Yellow 6 Lake, Yellow 5, Blue 2 Lake], Garlic Powder, Sugar, Lactic Acid, Skim Milk, Disodium Inosinate, Disodium Guanylate, and Sunflower Oil).",Snacks,28.0,g,2021-03-19,United States,GDSN,doritos
1459536,Doritos Ranch 2.125z,Pepsico Inc.,Doritos,00028400144513,"Corn, Vegetable Oil (Sunflower, Corn and/or Canola Oil), Salt, Sodium Diacetate, Maltodextrin (Made from Corn), Skim Milk, Monosodium Glutamate, Cayenne Pepper Sauce (Aged Cayenne Red Peppers, Vinegar, Salt, Garlic), Onion Powder, Spice, Sugar, Hydrolyzed Corn Protein, Garlic Powder, Chicken Fat, Artificial Color (Red 40, Blue 1, Yellow 6, Red 40 Lake, Yellow 6 Lake, Yellow 5 Lake), Yeast Extract, Corn Syrup Solids, Butter (Cream, Salt), Natural and Artificial Flavor, Citric Acid, Milk Protein Concentrate, Chicken Broth, Chicken Powder, Disodium Inosinate, and Disodium Guanylate.",Snacks,28.0,g,2021-03-19,United States,GDSN,doritos
1458358,2.12OZ DORITOS SPICY NACHO,Pepsico Inc.,Doritos,00028400078825,"Corn, Vegetable Oil (Sunflower, Corn, and/or Canola Oil), Maltodextrin (Made from Corn), Salt, Whey, Monosodium Glutamate, Buttermilk, Romano Cheese (Cow's Milk, Cheese Cultures, Salt, Enzymes), Cheddar Cheese (Milk, Cheese Cultures, Salt, Enzymes), Corn Starch, Onion Powder, Garlic Powder, Dextrose, Natural and Artificial Flavor, Spices, Lactose, Sodium Caseinate, Artificial Color (Including Yellow 6 Lake, Red 40 Lake, Yellow 6, Red 40, Yellow 5, Blue 1), Citric Acid, Sugar, Lactic Acid, Skim Milk, Disodium Inosinate, and Disodium Guanylate.",Snacks,28.0,g,2021-03-19,United States,GDSN,doritos
2026852,NUTELLA FERRERO WITH BREADSTICKS,"Ferrero U.S.A., Incorporated",NUTELLA FERRERO,009800800124,"NUTELLA: SUGAR, PALM OIL, HAZELNUTS, COCOA, SKIM MILK, WHEY (MILK), LECITHIN AS EMULSIFIER (SOY), VANILLIN: AN ARTIFICIAL FLAVOR. BREADSTICKS: WHEAT FLOUR, PALM OIL, SALT, MALT EXTRACT, BAKER'S YEAST.",Crackers & Biscotti,52.0,g,2021-10-28,United States,LI,nutella
2560072,FILLED WITH NUTELLA CRISPY WAFER,"Ferrero U.S.A., Incorporated",NUTELLA,0009800820023,"HAZELNUT SPREAD WITH COCOA (SUGAR, PALM OIL, HAZELNUTS, SKIM MILK, COCOA, LECITHIN AS EMULSIFIER, VANILLIN: AN ARTIFICIAL FLAVOR), WHEAT FLOUR, BAKER'S YEAST, BARLEY MALT EXTRACT, SALT, SKIM MILK, LECITHIN AS EMULSIFIER, WHEAT PROTEINS, WHEY PROTEINS",Cookies & Biscuits,22.0,GRM,2023-06-29,United States,LI,nutella
2193268,"COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD BISCUITS, COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD","Ferrero U.S.A., Incorporated",NUTELLA,009800830022,"HAZELNUT SPREAD WITH COCOA (SUGAR, PALM OIL, HAZELNUTS, SKIM MILK, COCOA, LECITHIN AS EMULSIFIER, VANILLIN AN ARTIFICIAL FLAVOR), WHEAT FLOUR, VEGETABLE FATS (PALM, PALM KERNEL), CANE SUGAR, LACTOSE, WHEAT BRAN, MILK POWDER, BARLEYCORN MALT EXTRACT, HONEY, DISODIUM DIPHOSPHATE, SODIUM BICARBONATE AND AMMONIUM BICARBONATE AS LEAVENING AGENTS, COCOA, SALT, WHEAT STARCH, MALTED BARLEY FLOUR, LECITHIN AS EMULSIFIER, VANILLIN: AN ARTIFICIAL FLAVOR.",Cookies & Biscuits,28.0,g,2021-12-01,United States,LI,nutella
418678,"BON APPE, NUTELLA, SWIRL COOKIES",BON APPE,,773479072709,"NUTELLA (SUGAR, PALM OIL, HAZELNUTS, COCOA, SKIM MILK, WHEY, SOY LECITHIN, VANILLIN), ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, ASCORBIC ACID ADDED AS A DOUGH CONDITIONER, THIAMINE MONONITRATE, RIBOFLAVIN, ENZYME, FOLIC ACID), MARGARINE (PALM OIL, WATER, CANOLA OIL, SUGAR, MONOGLYCERIDES, SOY LECITHIN, POTASSIUM SORBATE, CITRIC ACID, ARTIFICIAL FLAVOR, BETA CAROTENE, VITAMIN A VITAMIN D3), EGGS, DEXTROSE, SUGAR, FRUCTOSE, INVERT SUGAR, BROWN SUGAR, PALM OIL, SOYBEAN OIL, NATURAL FLAVOR, COCOA (PROCESSED WITH ALKALI), WATER, LEAVENING (CORN STARCH, SODIUM BICARBONATE, SODIUM ALUMINUM SULFATE, MONOCALCIUM PHOSPHATE), SALT, CITRUS FIBER, GUAR GUM, MODIFIED CORN STARCH, XANTHAN GUM",Cookies & Biscuits,28.0,g,2019-04-01,United States,LI,nutella
446248,"BON APPE, NUTELLA, GOURMET FUDGE BROWNIE",BON APPE,,773479772609,"SUGAR, NUTELLA (SUGAR, PALM OIL, HAZELNUTS, COCOA, SKIM MILK, WHEY, SOY LECITHIN, VANILLIN), ENRICHED BLEACHED FLOUR (WHEAT FLOUR, CHLORINE, NIACIN, BENZOYL PEROXIDE, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SOYBEAN AND/OR CANOLA OIL, EGGS, WATER, COCOA POWDER (ALKALIZED), INVERT SUGAR, SALT, ARTIFICIAL FLAVOR.","Cakes, Cupcakes, Snack Cakes",39.0,g,2019-04-01,United States,LI,nutella
1759570,"SKIPPY, PEANUT BUTTER",Hormel Foods Corporation ,SKIPPY,037600309806,"ROASTED PEANUTS, SUGAR, HYDROGENATED VEGETABLE OIL (COTTONSEED, SOYBEAN AND RAPESEED OIL) TO PREVENT SEPARATION, SALT.",Nut & Seed Butters,32.0,g,2021-06-17,United States,LI,skippy
1873435,"SKIPPY, P.B. BITES PRETZEL",Hormel Foods Corporation ,SKIPPY,037600739894,"PEANUT BUTTER COATING (PALM KERNEL OIL, PEANUTS, SUGAR, NONFAT MILK, PEANUT BUTTER [ROASTED PEANUTS, SUGAR, HYDROGENATED VEGETABLE OIL {COTTONSEED, SOYBEAN, RAPESEED}, SALT], WHEY PROTEIN CONCENTRATE, DEXTROSE, MONO- AND DIGLYCERIDES, SALT, SOY LECITHIN), PRETZELS (ENRICHED WHEAT FLOUR [WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID], VEGETABLE OIL [CORN CANOLA, COTTONSEED, AND/OR SOYBEAN], SALT, MALT OR CORN SYRUP, SODIUM BICARBONATE, YEAST)","Popcorn, Peanuts, Seeds & Related Snacks",30.0,g,2021-07-29,United States,LI,skippy
2008989,"SKIPPY, PEANUT BUTTER SPREAD WITH HONEY",Unilever Bestfoods North America,SKIPPY,048001159945,"PEANUT BUTTER, SPREAD (ROASTED PEANUTS, PALM OIL, PEANUT OIL, SALT), SUGAR, HONEY.",Nut & Seed Butters,32.0,g,2021-10-28,United States,LI,skippy
2010337,"SKIPPY, NATURAL PEANUT BUTTER SPREAD WITH HONEY",Unilever Bestfoods North America,SKIPPY,048001094307,"PEANUT BUTTER SPREAD (ROASTED PEANUTS, PALM OIL, PEANUT OIL, SALT), SUGAR, HONEY.",Nut & Seed Butters,32.0,g,2021-10-28,United States,LI,skippy
1851232,"SKIPPY, PEANUT BUTTER SPREAD, CREAMY, CREAMY",Unilever Bestfoods North America,SKIPPY,048001212107,"ROASTED PEANUTS, SUGAR, PALM OIL, SALT.",Nut & Seed Butters,32.0,g,2021-07-29,United States,LI,skippy
1624854,"HEINZ, TOMATO KETCHUP",Kraft Heinz Foods Company,HEINZ,01311501,"TOMATO CONCENTRATE FROM RED RIPE TOMATOES, DISTILLED VINEGAR, HIGH FRUCTOSE CORN SYRUP, CORN SYRUP, SALT, SPICE, ONION POWDER, NATURAL FLAVORING.","Ketchup, Mustard, BBQ & Cheese Sauce",17.0,g,2021-03-19,United States,LI,heinz ketchup
1850762,"POTATO CHIPS, HEINZ KETCHUP",Herr Foods Inc.,HERR'S,072600008137,"CHOICE POTATOES COOKED IN VEGETABLE OIL (CONTAINS ONE OF THE FOLLOWING: CORN, COTTONSEED, SOYBEAN), WITH SALT ADDED. NO PRESERVATIVES ADDED. SEASONING: SUGAR, TOMATO POWDER, FRUCTOSE, MONOSODIUM GLUTAMATE, SALT, ONION, MALIC ACID, SODIUM ACETATE, FD&C RED NO. 40 LAKE, CARAMEL COLOR, GUM ARABIC, EXTRACTIVES OF PAPRIKA, NATURAL FLAVOR, SILICON DIOXIDE (AS ANTICAKING AGENT).","Chips, Pretzels & Snacks",28.0,g,2021-07-29,United States,LI,heinz ketchup
2088784,"HEINZ, TOMATO KETCHUP, HOT & SPICY","Original Chili Co., Inc.",HEINZ,01508796,"HEINZ TOMATO KETCHUP (TOMATO CONCENTRATE FROM RED RIPE TOMATOES, DISTILLED VINEGAR, HIGH FRUCTOSE CORN SYRUP, CORN SYRUP, SALT, SPICE, ONION POWDER, NATURAL FLAVORING), TABASCO BRAND PEPPER SAUCE (DISTILLED VINEGAR, RED PEPPER, SALT), NATURAL FLAVORING.","Ketchup, Mustard, BBQ & Cheese Sauce",17.0,g,2021-10-28,United States,LI,heinz ketchup
2560353,"HEINZ TOMATO KETCHUP, 20 OZ",Kraft Heinz Foods Company,HEINZ,0013000006408,"TOMATO CONCENTRATE FROM RED RIPE TOMATOES, DISTILLED VINEGAR, HIGH FRUCTOSE CORN SYRUP, CORN SYRUP, SALT, SPICE, ONION POWDER, NATURAL FLAVORING",Tomatoes,17.0,GRM,2023-06-29,United States,LI,heinz ketchup
2560352,"HEINZ TOMATO KETCHUP, 32 OZ BOTTLE",Kraft Heinz Foods Company,HEINZ,0013000006057,"TOMATO CONCENTRATE FROM RED RIPE TOMATOES, DISTILLED VINEGAR, HIGH FRUCTOSE CORN SYRUP, CORN SYRUP, SALT, SPICE, ONION POWDER, NATURAL FLAVORING","Seasoning Mixes, Salts, Marinades & Tenderizers",17.0,GRM,2023-06-29,United States,LI,heinz ketchup
2509629,"CHOBANI, MEZE DIP THREE-PEPPER SALSA","Chobani, Inc.",CHOBANI,818290014085,"YOGURT (CULTURED PASTEURIZED NONFAT MILK, CREAM), WATER, GREEN BELL PEPPERS, GREEN CHILI PEPPERS, ONIONS, TOMATO JUICE CONCENTRATE, JALPENO PEPPERS, SEA SALT, EVAPORATED CANE JUICE, TAPIOCA FLOUR, CILANTRO, PECTIN, GAUR GUM, LIME JUICE CONCENTRATE PAPRIKA (FOR COLOR), NATURAL FLAVOR. CONTAINS LIVE AND ACTIVE CULTURES. S. THERMOPHILUS, L.BULGARICUS, L. ACIDOPHIUS, BIFIDUS AND L.CASEI.",Dips & Salsa,28.0,MG,2023-03-16,United States,LI,chobani
2082287,"CHOBANI, SIMPLY 100, GREEK YOGURT, KEY LIME","Chobani, Inc.",CHOBANI,818290013903,"INGREDIENTS: NONFAT YOGURT (CULTURED PASTEURIZED NONFAT MILK, LIVE AND ACTIVE CULTURES S. THERMOPHILIS, L. BULGARICUS, L, ACIDOPHILUS, BIFIDUS AND L. CASEI), CHICORY ROOT FIBER, WATER, EVAPORATED CANE JUICE, KEY LIME PUREE, NATURAL FLAVORS, KEY LIME JUICE CONCENTRATE, KEY LIME PEEL, LOCUST BEAN GUM, PECTIN, GUAR GUM, MONK FRUIT EXTRACT, FRUIT JUICE CONCENTRATE AND TURMERIC (FOR COLOR), STEVIA LEAF EXTRACT",Yogurt,150.0,g,2021-10-28,United States,LI,chobani
1851216,"CHOBANI, GREEK OATS YOGURT, BANANA MAPLE, BANANA MAPLE","Chobani, Inc.",CHOBANI,818290013927,"LOWFAT YOGURT (CULTURED PASTEURIZED NONFAT MILK, CREAM, LIVE AND ACTIVE CULTURES: S. THERMOPHILUS, L. BULGARICUS, L. ACIDOPHILUS, BIFIDUS AND L. CASEI), WATER, EVAPORATED CANE JUICE, BANANAS, STEEL-CUT OATS, OAT FIBER, MAPLE SYRUP, PECTIN, LEMON JUICE CONCENTRATE, NATURAL FLAVORS, LOCUS BEAN GUM.",Yogurt,150.0,g,2021-07-29,United States,LI,chobani
2185654,"CHOBANI, FLIP, GREEK LOW-FAT YOGURT, CLOVER HONEY, CLOVER HONEY","Chobani, Inc.",CHOBANI,818290013606,"LOWFAT YOGURT (CULTURED PASTEURIZED NONFAT MILK, CREAM, LIVE AND ACTIVE CULTURES, S. THERMOPHILUS, L. BULGARICUS, L. ACIDOPHILUS, BIFIDUS AND L. CASEI), HONEY. ",Yogurt,150.0,g,2021-12-01,United States,LI,chobani
2196105,"BERRY PARFAIT, DOUBLEBERRY CRUNCH FRESH BLUEBERRIES, NONFAT STRAWBERRY GREEK YOGURT & GRANOLA, DOUBLEBERRY CRUNCH","Naturipe Farms, LLC",NATURIPE SNACKS,812049002224,"GREEK YOGURT (CULTURED NONFAT MILK, CANE SUGAR, STRAWBERRIES, WATER, NATURAL FLAVORS, FRUIT PECTIN, LOCUST BEAN GUM, FRUIT AND VEGETABLE JUICE CONCENTRATE (FOR COLOR), GUAR GUM, LEMON JUICE CONCENTRATE), BLUEBERRIES, GRANOLA (WHOLE ROLLED OATS, MILLED CANE SUGAR, EXPELLER PRESSED CANOLA OIL, RICE FLOUR, CORNSTARCH, ALMONDS, HONEY, SALT, NATURAL FLAVOR, BARLEY MALT SYRUP, HERB BLEND [SUGAR, CARDAMOM, FENNEL SEED, FENUGREEK, NUTMEG]).",Yogurt,170.0,g,2021-12-01,United States,LI,chobani
