code,original_name,original_brand,original_categories,original_ingredients,completeness,product_name,brands,quantity,categories,allergens,ingredients_text,nutrition_grades,labels,clean_name,clean_brand,primary_category,dietary_tags,allergens_extracted,is_organic,enrichment_status,enriched_by_llm,dq_score_pre,rule_transforms,llm_transforms,all_transforms,duplicate_group_id,canonical,duplicate_score,dq_score_post
30000436073,"Simply Granola Oats, Honey, Raisins & Almonds",Quaker,Mueslis,"Whole grain oats, whole grain wheat, sugar, raisins, vegetable oil (canola and/or soybean oil), whey, inulin, almonds, nonfat dry milk, glycerin, molasses, whey protein concentrate, honey, natural flavor, sunflower oil, tocopherols (to preserve freshness)",0.8,"Simply Granola Oats, Honey, Raisins & Almonds",Quaker,1.95 kg,Mueslis,"en:gluten,en:milk,en:nuts","Whole grain oats, whole grain wheat, sugar, raisins, vegetable oil (canola and/or soybean oil), whey, inulin, almonds, nonfat dry milk, glycerin, molasses, whey protein concentrate, honey, natural flavor, sunflower oil, tocopherols (to preserve freshness)",c,"No artificial flavors,With Sunflower oil","Simply Granola Oats, Honey, Raisins & Almonds",Quaker,Mueslis,,"en:gluten,en:milk,en:nuts",false,skipped_complete,False,100.0,"categories: extracted primary 'Mueslis' from 'Plant-based foods and beverages,Plant-based foods,Breakfasts'",,"categories: extracted primary 'Mueslis' from 'Plant-based foods and beverages,Plant-based foods,Breakfasts'",,,,100.0
30000169476,Chocolate Rice Cakes,Quaker,Rice-Cakes,"Whole grain brown rice, sugar, fructose, milk chocolate chips (sugar, chocolate liquor, dry whole milk, cocoa butter, soy lecithin, vanilla extract), corn maltodextrin, cocoa, natural flavor, vegetable oil (canola and/or sunflower oil), salt, soy lecithin, tocopherols (to preserve freshness)",0.7875,Chocolate Rice Cakes,Quaker,205 g,Rice-Cakes,"en:milk,en:soybeans","Whole grain brown rice, sugar, fructose, milk chocolate chips (sugar, chocolate liquor, dry whole milk, cocoa butter, soy lecithin, vanilla extract), corn maltodextrin, cocoa, natural flavor, vegetable oil (canola and/or sunflower oil), salt, soy lecithin, tocopherols (to preserve freshness)",d,"No gluten,No artificial flavors",Chocolate Rice Cakes,Quaker,Rice-Cakes,,"en:milk,en:soybeans",false,skipped_complete,False,100.0,"categories: extracted primary 'Rice-Cakes' from 'Plant-based foods and beverages,Plant-based foods,Cereals an'",,"categories: extracted primary 'Rice-Cakes' from 'Plant-based foods and beverages,Plant-based foods,Cereals an'",,,,100.0
30000169001,Apple Cinnamon Rice Cakes,Quaker,Puffed Rice Cakes,"whole grain brown rice, sugar, fructose, maltodextrin, natural flavor, cinnamon, soy lecithin,",0.6875,Apple Cinnamon Rice Cakes,Quaker,"185 g (6,53 Oz)",Puffed Rice Cakes,en:soybeans,"whole grain brown rice, sugar, fructose, maltodextrin, natural flavor, cinnamon, soy lecithin,",c,"No gluten,Contains soy",Apple Cinnamon Rice Cakes,Quaker,Puffed Rice Cakes,,en:soybeans,false,skipped_complete,False,90.0,"categories: extracted primary 'Puffed Rice Cakes' from 'Plant-based foods and beverages,Plant-based foods,Snacks,Cer'",,"categories: extracted primary 'Puffed Rice Cakes' from 'Plant-based foods and beverages,Plant-based foods,Snacks,Cer'",,,,90.0
30000169100,CARAMEL RICE CAKES,Quaker,Puffed Rice Cakes,"whole grain brown rice, degerminated milled corn, sugar, fructose, maltodextrin, natural flavor, salt, soy lecithin. contains soy ingredients.",0.6875,CARAMEL RICE CAKES,Quaker,6.5 oz,Puffed Rice Cakes,en:soybeans,"whole grain brown rice, degerminated milled corn, sugar, fructose, maltodextrin, natural flavor, salt, soy lecithin. contains soy ingredients.",d,No artificial flavors,CARAMEL RICE CAKES,Quaker,Puffed Rice Cakes,,en:soybeans,false,skipped_complete,False,100.0,"brands: 'QUAKER' -> 'Quaker'; categories: extracted primary 'Puffed Rice Cakes' from 'Plant-based foods and beverages,Plant-based foods,Snacks,Cer'",,"brands: 'QUAKER' -> 'Quaker'; categories: extracted primary 'Puffed Rice Cakes' from 'Plant-based foods and beverages,Plant-based foods,Snacks,Cer'",,,,100.0
1201303,Pepsi,Pepsi,Bebidas Azucaradas,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR, SUGAR, PHOSPHORIC ACID, CAFFEINE, CITRIC ACID, NATURAL FLAVOR.",1.0,Pepsi,Pepsi,12 fl oz (355 ml),Bebidas Azucaradas,nan,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR, SUGAR, PHOSPHORIC ACID, CAFFEINE, CITRIC ACID, NATURAL FLAVOR.",e,Contiene OMG,Pepsi,Pepsi,Beverage,,,false,success,True,80.0,"categories: extracted primary 'Bebidas Azucaradas' from 'Bebidas y preparaciones de bebidas,Bebidas,Bebidas carbonata'",,"categories: extracted primary 'Bebidas Azucaradas' from 'Bebidas y preparaciones de bebidas,Bebidas,Bebidas carbonata'",,,,80.0
1212901,Pepsi,Pepsi,Sweetened Beverages,"carbonated water, high fructose corn syrup, caramel color, sugar, % phosphoric acid, caffeine, citric acid, natural flavor,",0.6875,Pepsi,Pepsi,20 oz,Sweetened Beverages,nan,"carbonated water, high fructose corn syrup, caramel color, sugar, % phosphoric acid, caffeine, citric acid, natural flavor,",e,nan,Pepsi,Pepsi,Beverage,,,false,success,True,90.0,"quantity: '20oz' -> '20 oz'; categories: extracted primary 'Sweetened Beverages' from 'Beverages, Carbonated drinks, Sodas, Colas, Sweetened bevera'",,"quantity: '20oz' -> '20 oz'; categories: extracted primary 'Sweetened Beverages' from 'Beverages, Carbonated drinks, Sodas, Colas, Sweetened bevera'",,,,90.0
1280504,Diet Pepsi,Pepsi,Diet Cola Soft Drink,"CARBONATED WATER, CARAMEL COLOR, ASPARTAME PHOSPHORIC ACID, POTASSIUM BENZOATE (PRESERVES FRESHNESS), CAFFEINE, CITRIC ACID, NATURAL FLAVOR ACESULFAME POTASSIUM. PHENYLKETONURICS: CONTAINS PHENYLALANINE BOTTLED UNDER THE AUTHORITY OF PEPSICO, INC., 00277-101-00-16 PURCHASE, NY 10577. LUORIES CAFFEIN",0.675,Diet Pepsi,Pepsi,12 oz,Diet Cola Soft Drink,nan,"CARBONATED WATER, CARAMEL COLOR, ASPARTAME PHOSPHORIC ACID, POTASSIUM BENZOATE (PRESERVES FRESHNESS), CAFFEINE, CITRIC ACID, NATURAL FLAVOR ACESULFAME POTASSIUM. PHENYLKETONURICS: CONTAINS PHENYLALANINE BOTTLED UNDER THE AUTHORITY OF PEPSICO, INC., 00277-101-00-16 PURCHASE, NY 10577. LUORIES CAFFEINE CONTENT: 35mg/12 fl oz. www.PEPSLCOM",c,nan,Diet Pepsi,Pepsi,Beverage,sugar-free,,false,success,True,90.0,"quantity: '12oz' -> '12 oz'; categories: extracted primary 'Diet Cola Soft Drink' from 'Beverages,Carbonated drinks,Artificially sweetened beverages'",,"quantity: '12oz' -> '12 oz'; categories: extracted primary 'Diet Cola Soft Drink' from 'Beverages,Carbonated drinks,Artificially sweetened beverages'",,,,90.0
12000171741,Diet Pepsi,Pepsi,En:Diet-Cola-Soft-Drink,"Carbonated water, caramel color, aspartame, phosphoric acid, potassium benzoate, caffeine, citric acid, natural flavor, acesulfame potassium",0.7875,Diet Pepsi,Pepsi,20 fl oz,En:Diet-Cola-Soft-Drink,nan,"Carbonated water, caramel color, aspartame, phosphoric acid, potassium benzoate, caffeine, citric acid, natural flavor, acesulfame potassium",c,nan,Diet Pepsi,Pepsi,Beverage,sugar-free,,false,success,True,90.0,"categories: extracted primary 'En:Diet-Cola-Soft-Drink' from 'Beverages, Carbonated drinks, Artificially sweetened beverag'",,"categories: extracted primary 'En:Diet-Cola-Soft-Drink' from 'Beverages, Carbonated drinks, Artificially sweetened beverag'",,,,90.0
6111252421582,اكوافينا,Pepsi,Eaux De Table,Aqua,0.6625,اكوافينا,Pepsi,"1,5l",Eaux De Table,nan,Aqua,b,nan,Aquafina,Pepsi,Beverage,,,false,success,True,80.0,"brands: 'pepsi' -> 'Pepsi'; categories: extracted primary 'Eaux De Table' from 'Eaux,Eaux de table'",,"brands: 'pepsi' -> 'Pepsi'; categories: extracted primary 'Eaux De Table' from 'Eaux,Eaux de table'",,,,80.0
3400704,Ice Breakers Cool Mint,Hershey,Candies,"sorbitol, maltitol, maltodextrin, contains 2% or less of natural flavor and artificial flavor gun acacia aspartame, magnesium stearate",0.6875,Ice Breakers Cool Mint,Hershey,42 gr,Candies,nan,"sorbitol, maltitol, maltodextrin, contains 2% or less of natural flavor and artificial flavor gun acacia aspartame, magnesium stearate",a,Contains GMOs,Ice Breakers Cool Mint,Hershey,Candy,sugar-free,,false,success,True,80.0,"categories: extracted primary 'Candies' from 'Snacks, Sweet snacks, Confectioneries, Candies'",,"categories: extracted primary 'Candies' from 'Snacks, Sweet snacks, Confectioneries, Candies'",,,,80.0
10700021526,Milk Duds,Hershey,En:Chocolates,"corn syrup, sugar, vegetable oil [palm oil, shea oil, sunflower oil, palm kernel oil, and/or safflower oil], dextrose, nonfat milk, reduced protein whey (milk), chocolate, contains 2% or less of: brown sugar, mono - and diglycerides, whey (milk), baking soda, confectioner's glaze, salt, tapioca dext",0.7875,Milk Duds,Hershey,5 OZ (141 g),En:Chocolates,"en:milk,en:soybeans","corn syrup, sugar, vegetable oil [palm oil, shea oil, sunflower oil, palm kernel oil, and/or safflower oil], dextrose, nonfat milk, reduced protein whey (milk), chocolate, contains 2% or less of: brown sugar, mono - and diglycerides, whey (milk), baking soda, confectioner's glaze, salt, tapioca dextrin, lecithin (soy), vanillin, artificial flavor.",e,"Kosher, Orthodox Union Kosher",Milk Duds,Hershey,En:Chocolates,,"en:milk,en:soybeans",false,skipped_complete,False,90.0,"categories: extracted primary 'En:Chocolates' from 'Snacks, Sweet snacks, Cocoa and its products, Confectionerie'",,"categories: extracted primary 'En:Chocolates' from 'Snacks, Sweet snacks, Cocoa and its products, Confectionerie'",,,,90.0
34000944552,Plant based oat chocolate confection,Hershey,nan,"Sugar, Cocoa Butter, Chocolate, Almonds, Oat Flour, Rice Flour, Lecithin (Soy), Sunflower Oil, Sea Salt, Natural Flavor",0.475,Plant based oat chocolate confection,Hershey,nan,nan,en:soybeans,"Sugar, Cocoa Butter, Chocolate, Almonds, Oat Flour, Rice Flour, Lecithin (Soy), Sunflower Oil, Sea Salt, Natural Flavor",unknown,nan,Plant Based Oat Chocolate Confection,Hershey,Candy,vegetarian,"soy, tree nuts",false,success,True,50.0,,,,,,,70.0
810031480364,Hershey’s S’mores Popcorn,Hershey,nan,nan,0.375,Hershey’s S’mores Popcorn,Hershey,nan,nan,nan,nan,unknown,nan,Hershey's S'mores Popcorn,Hershey,Snack,,,False,success,True,30.0,,,,,,,50.0
3403109,Mounds Dark Chocolate,Hershey,Chocolate Candies,"Corn syrup; semi-sweet chocolate [chocolate; sugar; milk fat; lecithin (soy); pgpr; vanillin, artificial flavor; milk]; coconut; sugar; contains 2% or less of: salt; hydrolyzed milk protein; sodium metabisulfite, to maintain freshness.",0.6875,Mounds Dark Chocolate,Hershey,1.75 oz,Chocolate Candies,"en:milk,en:soybeans","Corn syrup; semi-sweet chocolate [chocolate; sugar; milk fat; lecithin (soy); pgpr; vanillin, artificial flavor; milk]; coconut; sugar; contains 2% or less of: salt; hydrolyzed milk protein; sodium metabisulfite, to maintain freshness.",e,nan,Mounds Dark Chocolate,Hershey,Candy,,"milk, soy",false,success,True,100.0,"quantity: '1.75oz' -> '1.75 oz'; categories: extracted primary 'Chocolate Candies' from 'Snacks, Sweet snacks, Cocoa and its products, Confectionerie'",,"quantity: '1.75oz' -> '1.75 oz'; categories: extracted primary 'Chocolate Candies' from 'Snacks, Sweet snacks, Cocoa and its products, Confectionerie'",,,,100.0
77567254238,Natural Vanilla Ice Cream,"Breyers,Unilever",Frozen Desserts,"milk, cream, sugar, vegetable gum (tara), natural flavor,",0.575,Natural Vanilla Ice Cream,"Breyers,Unilever",nan,Frozen Desserts,en:milk,"milk, cream, sugar, vegetable gum (tara), natural flavor,",d,nan,Natural Vanilla Ice Cream,Breyers,Frozen,,milk,false,success,True,80.0,"categories: extracted primary 'Frozen Desserts' from 'Desserts,Frozen foods,Frozen desserts'",,"categories: extracted primary 'Frozen Desserts' from 'Desserts,Frozen foods,Frozen desserts'",,,,80.0
186852000389,Gelato - Madagascan Vanilla Bean,"Talenti,Unilever",Ice Creams,"Milk, sugar , cream, dextrose , vanilla extract, sunflower lecithin, carob bean gum, guar gum, natural flavor, lemon peel.",0.8,Gelato - Madagascan Vanilla Bean,"Talenti,Unilever",473 ml,Ice Creams,en:milk,"Milk, sugar , cream, dextrose , vanilla extract, sunflower lecithin, carob bean gum, guar gum, natural flavor, lemon peel.",d,nan,Gelato Madagascan Vanilla Bean,Talenti,Dairy,,milk,false,success,True,100.0,"quantity: '473ml' -> '473 ml'; categories: extracted primary 'Ice Creams' from 'Desserts, Frozen foods, Frozen desserts, Ice creams and sorb'",,"quantity: '473ml' -> '473 ml'; categories: extracted primary 'Ice Creams' from 'Desserts, Frozen foods, Frozen desserts, Ice creams and sorb'",,,,100.0
12000012754,Green tea,"Lipton,Unilever",nan,"water,high fructose corn syrup,citric acid, natural flavor sooum hexametaphosphate (to protect flavor), pt) green tea, ascorbic acid (vitamin c), potassium sorbate (preserves freshness), phosphoric acid, sugar, acesulfame potassium, calcium disoium eota (to protect flavor), honey manufactured by ind",0.5875,Green tea,"Lipton,Unilever",20 fl oz,nan,nan,"water,high fructose corn syrup,citric acid, natural flavor sooum hexametaphosphate (to protect flavor), pt) green tea, ascorbic acid (vitamin c), potassium sorbate (preserves freshness), phosphoric acid, sugar, acesulfame potassium, calcium disoium eota (to protect flavor), honey manufactured by independent prooucers for the pepsi/lipton teapartnership, purchase, ny 10577 clipton, a division of unilever, caffeine content: 26mg/20 fl oz, www,liptontea,com, l)",unknown,nan,Green Tea,Lipton,Beverage,,,false,success,True,60.0,quantity: '20 FL OZ' -> '20 fl oz',,quantity: '20 FL OZ' -> '20 fl oz',,,,80.0
186852000334,Caramel cookie crunch gelato,"Talenti,  Unilever",Frozen Desserts,"Milk, sugarâ€ , cream, skim milk, coconut, palm and soybeanâ€ oils, dextroseâ€ , cocoa (processed with alkali), enriched flour (wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), corn syrupâ€ , sunflower lecithin, carob bean gum, vanilla extract, guar gum, baking soda, ",0.6625,Caramel cookie crunch gelato,"Talenti,  Unilever",nan,Frozen Desserts,nan,"Milk, sugarâ€ , cream, skim milk, coconut, palm and soybeanâ€ oils, dextroseâ€ , cocoa (processed with alkali), enriched flour (wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), corn syrupâ€ , sunflower lecithin, carob bean gum, vanilla extract, guar gum, baking soda, dried cane syrupâ€ , cocoa, soy lecithin, natural flavor, corn starch, salt.",d,nan,Caramel Cookie Crunch Gelato,Talenti,Frozen,,"milk, wheat, soy",false,success,True,70.0,"categories: extracted primary 'Frozen Desserts' from 'Desserts, Frozen foods, Frozen desserts'",,"categories: extracted primary 'Frozen Desserts' from 'Desserts, Frozen foods, Frozen desserts'",,,,80.0
77567226006,Breyers Homemade Vanilla Ice Cream,"Breyers,Unilever",Ice Creams,"milk, cream, sugar, corn syrup, whey, egg yolks, carob bean gum, mono and diglycerides, salt, natural flavor, vanilla extract*, annatto (for color), guar gum, tara gum,",0.5625,Breyers Homemade Vanilla Ice Cream,"Breyers,Unilever",nan,Ice Creams,"en:eggs,en:milk","milk, cream, sugar, corn syrup, whey, egg yolks, carob bean gum, mono and diglycerides, salt, natural flavor, vanilla extract*, annatto (for color), guar gum, tara gum,",d,No gluten,Breyers Homemade Vanilla Ice Cream,"Breyers,Unilever",Ice Creams,,"en:eggs,en:milk",false,skipped_complete,False,80.0,"categories: extracted primary 'Ice Creams' from 'Desserts, Frozen foods, Frozen desserts, Ice creams and sorb'",,"categories: extracted primary 'Ice Creams' from 'Desserts, Frozen foods, Frozen desserts, Ice creams and sorb'",,,,80.0
