fdc_id,description,brand_owner,brand_name,gtin_upc,ingredients,food_category,serving_size,serving_size_unit,published_date,source
2506892,"OREO VANILLA PUDDING WITH OREO COOKIE PIECES, OREO","Raymundo Food Products, Inc.",OREO,633456342044,"MILK, WATER, SUGAR, MODIFIED FOOD STARCH, LESS THAN 1% OF: NATURAL & ARTIFICIAL FLAVORS, SALT, POTASSIUM SORBATE (PRESERVATIVE), CARRAGEENAN, MALTODEXTRIN, DEXTROSE, UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID), PALM AND/OR CANOLA OIL, COCOA (PROCESSED WITH ALKALI), INVERT SUGAR, LEAVENING (BAKING SODA AND/OR CALCIUM PHOSPHATE), SOY LECITHIN, CARAMEL COLOR.",Puddings & Custards,99.0,GRM,2023-03-16,usda
1459004,NABISCO CHIPS AHOY! COOKIES CHIPS AHOY! COOKIES 48X4.150 OZ,Mondelez USA,NABISCO CHIPS AHOY!,00044000029548,"INGREDIENTS: UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE {VITAMIN B1}, RIBOFLAVIN {VITAMIN B2}, FOLIC ACID), SEMISWEET CHOCOLATE CHUNKS (SUGAR, CHOCOLATE, DEXTROSE, COCOA BUTTER, MILK, SOY LECITHIN), SUGAR, CANOLA OIL, SEMISWEET CHOCOLATE CHIPS (SUGAR, CHOCOLATE, COCOA BUTTER, DEXTROSE, MILK, SOY LECITHIN), PALM OIL, LEAVENING (BAKING SODA, AMMONIUM PHOSPHATE), MOLASSES, HIGH FRUCTOSE CORN SYRUP, WHEY, SALT, SOY LECITHIN, CARAMEL COLOR, ARTIFICIAL FLAVOR.",Biscuits/Cookies,16.0,g,2021-03-19,usda
1458457,CHIPS AHOY! COOKIES 1X0.770 OZ,Mondelez USA,CHIPS AHOY!,00044000045326,"INGREDIENTS: UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE {VITAMIN B1}, RIBOFLAVIN {VITAMIN B2}, FOLIC ACID), SEMISWEET CHOCOLATE CHIPS (SUGAR, CHOCOLATE, COCOA BUTTER, DEXTROSE, MILK, SOY LECITHIN), SUGAR, CANOLA OIL, PALM OIL, HIGH FRUCTOSE CORN SYRUP, LEAVENING (BAKING SODA, AMMONIUM PHOSPHATE), SALT, ARTIFICIAL FLAVOR, CARAMEL COLOR, NATURAL FLAVOR.",Biscuits/Cookies,22.0,g,2021-03-19,usda
1460082,CHIPS AHOY! COOKIES 1X1.55 OZ,Mondelez USA,CHIPS AHOY!,00044000043148,"INGREDIENTS: UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE {VITAMIN B1}, RIBOFLAVIN {VITAMIN B2}, FOLIC ACID), SEMISWEET CHOCOLATE CHIPS (SUGAR, CHOCOLATE, COCOA BUTTER, DEXTROSE, MILK, SOY LECITHIN), SUGAR, CANOLA OIL, PALM OIL, HIGH FRUCTOSE CORN SYRUP, LEAVENING (BAKING SODA, AMMONIUM PHOSPHATE), SALT, ARTIFICIAL FLAVOR, CARAMEL COLOR, NATURAL FLAVOR.",Biscuits/Cookies,44.0,g,2021-03-19,usda
2678649,"COCA-COLA, COLA",Coca-Cola USA Operations,COCA-COLA,04963406,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR, PHOSPHORIC ACID, NATURAL FLAVORS, CAFFEINE. ",Soda,355.0,MLT,2023-11-16,usda
1999231,"COCA-COLA FLAVORED MINTS, COCA-COLA","Ferrero U.S.A., Incorporated",TIC TAC,009800005000,"SUGAR* , DEXTROSE , RICE STARCH, COCA-COLA DRINK (WATER , SUGAR, CARAMEL COLOR , PHOSPHORIC ACID , NATURAL FLAVORS) , MALTODEXTRIN , NATURAL AND ARTIFICIAL FLAVORS , GUM ARABIC , CITRIC ACID , TARTARIC ACID , MAGNESIUM STEARATE, SHELLAC AND CARNAUBA WAX AS GLAZING AGENTS, RED 40.",Chewing Gum & Mints,5.0,g,2021-07-29,usda
2641505,"COCA-COLA SODA, 12 FL OZ, 4 COUNT",Coca-Cola USA Operations,COCA-COLA,0049000075465,"CARBONATED WATER, CANE SUGAR, CARAMEL COLOR, PHOSPHORIC ACID, NATURAL FLAVORS, CAFFEINE",Soda,355.0,MLT,2023-09-14,usda
2493697,"PEPSI, COLA, WILD CHERRY, WILD CHERRY",Pepsi-Cola North America Inc.,PEPSI,012000003721,"CARBONATED WATER, SUGAR, CARAMEL COLOR, NATURAL FLAVOR, PHOSPHORIC ACID, CAFFEINE, CITRIC ACID.",Soda,355.0,MLT,2023-03-16,usda
1458066,Diet Pepsi Cola 2 Liter Plastic Bottle,Pepsico Inc.,Pepsi,00012000002311,"INGREDIENTS: CARBONATED WATER, CARAMEL COLOR, PHOSPHORIC ACID, POTASSIUM BENZOATE (PRESERVES FRESHNESS), SUCRALOSE, ACESULFAME POTASSIUM, CAFFEINE, NATURAL FLAVOR, CITRIC ACID.",Non Alcoholic Beverages  Ready to Drink,360.0,ml,2021-03-19,usda
1460452,Pepsi Cola 12 Fluid Ounce Aluminum Can,Pepsico Inc.,Pepsi,00012000000133,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR, SUGAR, PHOSPHORIC ACID, CAFFEINE, CITRIC ACID, NATURAL FLAVOR.",Non Alcoholic Beverages  Ready to Drink,360.0,ml,2021-03-19,usda
2193268,"COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD BISCUITS, COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD","Ferrero U.S.A., Incorporated",NUTELLA,009800830022,"HAZELNUT SPREAD WITH COCOA (SUGAR, PALM OIL, HAZELNUTS, SKIM MILK, COCOA, LECITHIN AS EMULSIFIER, VANILLIN AN ARTIFICIAL FLAVOR), WHEAT FLOUR, VEGETABLE FATS (PALM, PALM KERNEL), CANE SUGAR, LACTOSE, WHEAT BRAN, MILK POWDER, BARLEYCORN MALT EXTRACT, HONEY, DISODIUM DIPHOSPHATE, SODIUM BICARBONATE AND AMMONIUM BICARBONATE AS LEAVENING AGENTS, COCOA, SALT, WHEAT STARCH, MALTED BARLEY FLOUR, LECITHIN AS EMULSIFIER, VANILLIN: AN ARTIFICIAL FLAVOR.",Cookies & Biscuits,28.0,g,2021-12-01,usda
2654458,"CRISPY WAFER FILLED WITH NUTELLA HAZELNUT SPREAD WITH COCOA, HAZELNUT SPREAD WITH COCOA","Ferrero U.S.A., Incorporated",NUTELLA,009800820184,"HAZELNUT SPREAD WITH COCOA (SUGAR, PALM OIL, HAZELNUTS, SKIM MILK, COCOA, LECITHIN AS EMULSIFIER, VANILLIN: AN ARTIFICIAL FLAVOR), WHEAT FLOUR, BAKER'S YEAST, BARLEY MALT EXTRACT, SALT, SKIM MILK LECITHIN AS EMULSIFIER, WHEAT PROTEINS. WHEY PROTEINS.",Cookies & Biscuits,22.0,GRM,2023-10-26,usda
2654459,"CRISPY WAFER FILLED WITH NUTELLA HAZELNUT SPREAD WITH COCOA, HAZELNUT SPREAD WITH COCOA","Ferrero U.S.A., Incorporated",NUTELLA,009800820146,"HAZELNUT SPREAD WITH COCOA (SUGAR, PALM OIL, HAZELNUTS, SKIM MILK, COCOA, LECITHIN AS EMULSIFIER, VANILLIN: AN ARTIFICIAL FLAVOR), WHEAT FLOUR, BAKER'S YEAST, BARLEY MALT EXTRACT, SALT, SKIM MILK, LECITHIN AS EMULSIFIER, WHEAT PROTEINS, WHEY PROTEINS.",Cookies & Biscuits,22.0,GRM,2023-10-26,usda
1759570,"SKIPPY, PEANUT BUTTER",Hormel Foods Corporation ,SKIPPY,037600309806,"ROASTED PEANUTS, SUGAR, HYDROGENATED VEGETABLE OIL (COTTONSEED, SOYBEAN AND RAPESEED OIL) TO PREVENT SEPARATION, SALT.",Nut & Seed Butters,32.0,g,2021-06-17,usda
1849948,"SKIPPY, CREAMY SPREAD, PEANUT BUTTER, PEANUT BUTTER",Unilever Bestfoods North America,SKIPPY,048001232020,"ROASTED PEANUTS, SUGAR, PALM OIL, SALT",Nut & Seed Butters,32.0,g,2021-07-29,usda
2008989,"SKIPPY, PEANUT BUTTER SPREAD WITH HONEY",Unilever Bestfoods North America,SKIPPY,048001159945,"PEANUT BUTTER, SPREAD (ROASTED PEANUTS, PALM OIL, PEANUT OIL, SALT), SUGAR, HONEY.",Nut & Seed Butters,32.0,g,2021-10-28,usda
1624854,"HEINZ, TOMATO KETCHUP",Kraft Heinz Foods Company,HEINZ,01311501,"TOMATO CONCENTRATE FROM RED RIPE TOMATOES, DISTILLED VINEGAR, HIGH FRUCTOSE CORN SYRUP, CORN SYRUP, SALT, SPICE, ONION POWDER, NATURAL FLAVORING.","Ketchup, Mustard, BBQ & Cheese Sauce",17.0,g,2021-03-19,usda
1850762,"POTATO CHIPS, HEINZ KETCHUP",Herr Foods Inc.,HERR'S,072600008137,"CHOICE POTATOES COOKED IN VEGETABLE OIL (CONTAINS ONE OF THE FOLLOWING: CORN, COTTONSEED, SOYBEAN), WITH SALT ADDED. NO PRESERVATIVES ADDED. SEASONING: SUGAR, TOMATO POWDER, FRUCTOSE, MONOSODIUM GLUTAMATE, SALT, ONION, MALIC ACID, SODIUM ACETATE, FD&C RED NO. 40 LAKE, CARAMEL COLOR, GUM ARABIC, EXTRACTIVES OF PAPRIKA, NATURAL FLAVOR, SILICON DIOXIDE (AS ANTICAKING AGENT).","Chips, Pretzels & Snacks",28.0,g,2021-07-29,usda
2088784,"HEINZ, TOMATO KETCHUP, HOT & SPICY","Original Chili Co., Inc.",HEINZ,01508796,"HEINZ TOMATO KETCHUP (TOMATO CONCENTRATE FROM RED RIPE TOMATOES, DISTILLED VINEGAR, HIGH FRUCTOSE CORN SYRUP, CORN SYRUP, SALT, SPICE, ONION POWDER, NATURAL FLAVORING), TABASCO BRAND PEPPER SAUCE (DISTILLED VINEGAR, RED PEPPER, SALT), NATURAL FLAVORING.","Ketchup, Mustard, BBQ & Cheese Sauce",17.0,g,2021-10-28,usda
1592690,"KRAFT, MACARONI & CHEESE DINNER",Kraft Heinz Foods Company,KRAFT,021000037377,"PASTA (ENRICHED WHEAT FLOUR [WHEAT FLOUR, NIACIN, FERROUS SULFATE (IRON), THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WHOLE WHEAT FLOUR, GLYCEROL MONOSTEARATE); CHEESE SAUCE MIX (WHEY, MALTODEXTRIN, CORN SYRUP SOLIDS, PALM OIL, MODIFIED FOOD STARCH, MILKFAT, SALT, MILK PROTEIN CONCENTRATE, CONTAINS LESS THAN 2% OF MEDIUM CHAIN TRIGLYCERIDES, SODIUM TRIPOLYPHOSPHATE, CITRIC ACID, SODIUM PHOSPHATE, NATURAL FLAVOR, LACTIC ACID, CALCIUM PHOSPHATE, GUAR GUM, MONOSODIUM GLUTAMATE, YELLOW 5, YELLOW 6, ARTIFICIAL FLAVOR, CHEESE CULTURE, ENZYMES); MODIFIED FOOD STARCH, MALTODEXTRIN, POTASSIUM CHLORIDE, ACETYLATED MONOGLYCERIDES, SALT, MEDIUM CHAIN TRIGLYCERIDES, APOCAROTENAL (COLOR).",Pasta Dinners,55.0,g,2021-03-19,usda
2675215,"KRAFT, SHARP CHEDDAR CHEESE",Kraft Heinz Foods Company,KRAFT,02181505,"PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, ANNATTO (COLOR).",Cheese,56.0,GRM,2023-11-16,usda
1662005,"KRAFT, SHAVED PARMESAN CHEESE",Kraft Heinz Foods Company,KRAFT,021000032860,"PARMESAN CHEESE (PASTEURIZED PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES), POWDERED CELLULOSE TO PREVENT CAKING, POTASSIUM SORBATE AS A PRESERVATIVE",Cheese,28.0,g,2021-03-19,usda
2089201,"HERSHEY'S, CHOCOLATE CAKE","Wal-Mart Stores, Inc.",HERSHEY'S,078742112619,"SUGAR, HERSHEY'S SPECIAL DARK SYRUP (HIGH FRUCTOSE CORN SYRUP, CORN SYRUP, WATER, COCOA PROCESSED WITH ALKALI, SUGAR, SALT, MONO- AND DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 60, ARTIFICIAL FLAVOR), ENRICHED BLEACHED WHEAT FLOUR (FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), EGGS, MARGARINE (PALM OIL, WATER, SOYBEAN OIL, SALT, MONO- AND DIGLYCERIDES, ARTIFICIAL FLAVOR, ANNATTO EXTRACT [FOR COLOR], PRESERVATIVE [CALCIUM DISODIUM EDTA], VITAMIN A PALMITATE), CULTURED BUTTERMILK (CULTURED MILK, NONFAT MILK, MODIFIED CORNSTARCH, SODIUM CITRATE, LOCUST BEAN GUM, CARRAGEENAN, MONO- AND DIGLYCERIDES, SALT, VITAMIN A PALMITATE, VITAMIN D3), VEGETABLE SHORTENING (PALM OIL, MONO- AND DIGLYCERIDES, POLYSORBATE 60), INVERT SUGAR, SEMISWEET CHOCOLATE CHUNKS (SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, MILKFAT, SOY LECITHIN, NATURAL FLAVOR, SALT), COCOA PROCESSED WITH ALKALI, CONTAINS LESS THAN 2% OF THE FOLLOWING: CREAM (CREAM, MILK, NONFAT MILK, CARRAGEENAN, CELLULOSE GUM, MONOGLYCERIDES, POLYSORBATE 80, SALT, GUAR GUM), PALM AND PALM KERNEL OILS, MODIFIED CORNSTARCH, NATURAL AND ARTIFICIAL FLAVOR, LEAVENING (BAKING SODA, SODIUM ACID PYROPHOSPHATE, MONOCALCIUM PHOSPHATE), NONFAT MILK, MILK, SOY LECITHIN, SALT, CORN SYRUP, NATURAL FLAVOR, SOYBEAN OIL, HIGH FRUCTOSE CORN SYRUP, PRESERVATIVES (POTASSIUM SORBATE, PROPYLENE GLYCOL), CITRIC ACID.","Cakes, Cupcakes, Snack Cakes",85.0,g,2021-10-28,usda
1912642,"HERSHEY'S, MILK CHOCOLATE",Ross Acquisition Inc.,HERSHEY'S,768395495176,SUGAR; CHOCOLATE; COCOA BUTTER; PEANUTS; NONFAT MILK; MILK; MILK FAT; CRISP RICE (RICE FLOUR; SUGAR; MALT EXTRACT; SALT; MONOGLYCERIDES; TOCOPHEROLS; TO MAINTAIN FRESHNESS); CONTAINS 2% OR LESS OF: COCOA PROCESSED WITH ALKALI; LACTOSE (MILK); SOY LECITHIN; PGPR; EMULSIFIER; SALT; ARTIFICIAL FLAVOR,Chocolate,59.0,g,2021-07-29,usda
1629649,"HERSHEY'S, MILK CHOCOLATE","Hershey Mexico, S.A. De C.V.",HERSHEY'S,719886900709,"MILK CHOCOLATE (SUGAR; MILK; CHOCOLATE; COCOA BUTTER; LACTOSE; MILK FAT; SOY LECITHIN; PGPR, EMULSIFIER; VANILLIN, ARTIFICIAL FLAVOR).",Chocolate,43.0,g,2021-03-19,usda
2667092,"M&M'S MINIS, M&M'S",Brownie Brittle LLC,BROWNIE BRITTLE,711747012897,"BLONDIE BRITTLE MIX (PATENT FLOUR [BLEACHED WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, POTASSIUM BROMATE, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID]), SUGAR, PALM SHORTENING, BROWN BUTTER, WHEY POWDER (MILK), NATURAL VANILLA FLAVOR, MOLASSES, WHOLE EGG POWDER, BAKING SODA), M&M'S MINIS MILK CHOCOLATE BAKING BITS (MILK CHOCOLATE [SUGAR, CHOCOLATE, SKIM MILK, COCOA BUTTER, LACTOSE, MILKFAT, SOY LECITHIN, SALT, NATURAL FLAVORS]), CORNSTARCH, CORN SYRUP, DEXTRIN, COLORS (INCLUDES BLUE 1 LAKE, RED 40, YELLOW 6, YELLOW 5, BLUE 1, RED 40 LAKE, YELLOW 6 LAKE, YELLOW 5 LAKE, BLUE 2 LAKE, BLUE 2), CARNAUBA WAX, GUM ACACIA.",Candy,28.0,GRM,2023-11-16,usda
2418796,"MINI M&M COOKIES M&M BAKING BITS, MINI M&M",Jerry's Enterprises Inc.,CUB,029341001620,"BLEACHED WHEAT FLOUR., CANOLA & PALM OIL, MILK CHOCOLATE(SUGAR,CHOCOLATE,SKIM MILK,COCOA BUTTER, LACTOSE, MILKFAT,SOY LECITHIN,SALT,ARTIFICIAL AND NATURAL FLAVORS), SUGAR,LESS THAN 2% - COLORING(INCLUDES BLUE 1 LAKE,RED 40, YELLOW 6,YELLOW 5,BLUE 1, RED 40 LAKE,YELLOW 6 LAKE,YELLOW 5 LAKE,BLUE 2 LAKE,BLUE 2),CORN SYRUP, DEXTRIN,CORNSTARCH,CARNAUBA WAX., BROWN SUGAR (SUGAR, MOLASSES), GRANULATED SUGAR, WHOLE EGGS, SALT, SODIUM BICARBONATE., DEXTROSE,CORN STARCH,LESS THAN 0.1% TURMERIC, LESS THAN 0.1% APO CAROTENAL,ALCOHOL, NATURAL MIXED TOCOPHEROLS, A NATURAL SOURCE OF VITAMIN E USED TO PROTECT FRESHNESS.",Cookies & Biscuits,35.720001220703125,g,2022-12-22,usda
1898075,M&M'S MINIS,"Wegmans Food Markets, Inc. ",WEGMANS,077890364062,"MILK CHOCOLATE (SUGAR, CHOCOLATE, COCOA BUTTER, LACTOSE, MILK FAT, SOY LECITHIN, SALT, ARTIFICIAL FLAVOR), SUGAR, LESS THAN 2% - COLORS (FD&C BLUE #1 LAKE, RED #40, YELLOW #6, YELLOW #5, BLUE #1, YELLOW #5 LAKE, RED #40 LAKE, YELLOW #6 LAKE, BLUE #2 LAKE, BLUE #2), DEXTRIN, CORN SYRUP, CORNSTARCH.",Candy,14.0,g,2021-07-29,usda
1455998,CAMPBELL'S SOUP DISCONTINUED,CAMPBELL SOUP COMPANY,CAMPBELL'S,00051000128959,"INGREDIENTS: CHICKEN STOCK, ENRICHED PASTA (WHEAT FLOUR, EGG WHITES, NIACIN, FERROUS SULFATE, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), CHICKEN MEAT, CONTAINS LESS THAN 2% OF: CARROT PUREE, CHICKEN FAT, SALT, WATER, CORNSTARCH, FLAVORING, YEAST EXTRACT, MODIFIED FOOD STARCH, CHICKEN BROTH*, CANE SUGAR, ONIONS*, SOY PROTEIN ISOLATE, SODIUM PHOSPHATE, CHICKEN*, ONION EXTRACT, GARLIC EXTRACT. *DEHYDRATED",Prepared Soups,120.0,ml,2021-03-19,usda
756994,CAMPBELL'S SOUP LENTIL,CAMPBELL SOUP COMPANY,,00051000219275,"INGREDIENTS: VEGETABLE STOCK* (WATER, CARROTS*, ONIONS*, CELERY*), WATER, GREEN LENTILS*, TOMATO PUREE* (WATER, TOMATO PASTE*), CARROTS*, RED PEPPERS*, CELERY*, KALE*, DICED TOMATOES* IN TOMATO JUICE*, CONTAINS LESS THAN 2% OF: DEHYDRATED ONIONS*, POTATO STARCH*, GARLIC*, SUGAR*, SEA SALT, TAPIOCA STARCH*, LEMON JUICE CONCENTRATE*, SPICE*, MOLASSES*, YEAST EXTRACT*, PAPRIKA*, DEHYDRATED CARROT*, POTATO FLOUR*, DEHYDRATED GARLIC*, LACTIC ACID, CELERY SEED OIL FLAVOR, ONION EXTRACT*, CELERY SEED*, BLACK PEPPER OIL*, CANOLA OIL*.        *CERTIFIED ORGANIC.",Prepared Soups,240.0,ml,2020-02-27,usda
757014,CAMPBELL'S SOUP STEAK,CAMPBELL SOUP COMPANY,,00051000141996,"INGREDIENTS: WATER, SALISBURY STEAK (BEEF, WATER, DEHYDRATED ONION, FLAVORING, SALT, CARAMEL COLOR), CARROTS, POTATOES, MUSHROOMS, TOMATO PUREE (WATER, TOMATO PASTE), CELERY, MODIFIED CORN STARCH, CONTAINS LESS THAN 2% OF: GREEN PEPPERS, WHEAT FLOUR, DEHYDRATED ONIONS, SUGAR, SALT, MONOSODIUM GLUTAMATE, BEEF BROTH, BEEF STOCK, YEAST EXTRACT, BEEF, DEHYDRATED GARLIC, FLAVORING, SPICE, BEEF FAT, CARAMEL COLOR, LACTIC ACID.",Prepared Soups,240.0,ml,2020-02-27,usda
2699981,"Prego Classic Pasta Sauce, 18.5 Oz Can",CAMPBELL SOUP COMPANY,PREGO,00051000232038,"INGREDIENTS: TOMATO PUREE (WATER, TOMATO PASTE), WATER, SUGAR, CONTAINS LESS THAN 2% OF: WHEAT FLOUR, MODIFIED FOOD STARCH, SALT, VEGETABLE OIL (CORN, CANOLA, AND/OR SOYBEAN), SPICES, CITRIC ACID, ONION EXTRACT, GARLIC EXTRACT.CONTAINS: WHEAT",Sauces/Spreads/Dips/Condiments,120.0,MLT,2024-08-15,usda
2695835,"Prego Mushroom Pasta Sauce, 14 oz Jar",CAMPBELL SOUP COMPANY,PREGO,00051000027955,"INGREDIENTS: TOMATO PUREE (WATER, TOMATO PASTE), DICED TOMATOES IN TOMATO JUICE, MUSHROOMS, SUGAR, CONTAINS LESS THAN 1% OF: SALT, CANOLA OIL, SPICES, CITRIC ACID, ONION EXTRACT, GARLIC EXTRACT.",Sauces/Spreads/Dips/Condiments,120.0,MLT,2024-07-11,usda
